Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Russia,VOSTOCHNYY,RUVYP,20,15,18,21,10,"NAKHODKA ANCH","CIS Pacific","CIS Pacific"
Russia,VANINO,RUVNN,20,12,12,16,10,"VANINO ANCH","CIS Pacific","Okhotsk Sea"
Indonesia,PANJANG,IDPNJ,20,9,8,10,7,"PANJANG ANCH",Indonesia,"Java Sea"
Indonesia,KALIORANG,IDKLR,20,3,1,4,8,,Indonesia,"Makassar Strait"
Philippines,DAVAO,PHDVO,19,7,8,23,8,"DAVAO ANCH",Philippines,Philippines
Indonesia,TELUKBAYUR,IDTBR,19,9,13,17,7,"TELUKBAYUR ANCH",Indonesia,Indonesia
Malaysia,LABUAN,MYLBU,19,11,18,10,8,"LABUAN ANCH",Indonesia,"Riau Archipelago"
Indonesia,CIREBON,IDCBN,19,7,12,4,7,"CIREBON ANCH",Indonesia,"Java Sea"
Thailand,"MAP TA PHUT ANCH",,19,31,25,2,7,,"South-East Asia","Gulf of Thailand"
Indonesia,MAKASSAR,IDMAK,18,21,19,14,8,"MAKASSAR ANCH",Indonesia,"Java Sea"
Malaysia,"KOTA KINABALU",MYBKI,18,6,7,7,8,"KOTA KINABALU ANCH",Indonesia,"Riau Archipelago"
Philippines,MARIVELES,PHMVS,18,10,6,4,8,"LIMAY ANCH",Philippines,Philippines
Philippines,CARRASCAL,,18,1,5,2,8,,Philippines,Philippines
Malaysia,PANGKOR,MYPGK,18,15,22,1,9,"LUMUT ANCH",Indonesia,"Malacca Strait"
Philippines,"BATANGAS BAY",,18,23,22,0,8,,Philippines,Philippines
Malaysia,"BINTULU ANCH",,18,16,17,0,8,,Indonesia,"Riau Archipelago"
Malaysia,"KUANTAN ANCH",,18,4,5,0,8,,Indonesia,"Riau Archipelago"
Indonesia,BAHUDOPI,IDBAH,17,6,6,28,8,,Indonesia,"Molucca Sea"
Malaysia,"KEMAMAN ANCH",,17,13,12,5,8,,Indonesia,"Riau Archipelago"
Malaysia,"SUNGAI LINGGI",,17,4,2,5,8,,Indonesia,"Malacca Strait"
Indonesia,TARAHAN,IDTRH,17,5,6,4,7,"PANJANG ANCH",Indonesia,"Java Sea"
Vietnam,"HAI PHONG ANCH",,17,25,23,3,7,,"South-East Asia","South-East Asia"
Singapore,RAFFLES,,17,7,7,2,8,,Indonesia,"Singapore Area"
Malaysia,"KUALA KEDAH",MYKKH,17,0,3,1,8,,Indonesia,"Malacca Strait"
Indonesia,SEMARANG,IDSRG,16,11,9,18,7,"SEMARANG ANCH",Indonesia,"Java Sea"
Malaysia,KUANTAN,MYKUA,16,6,6,15,8,"KUANTAN ANCH",Indonesia,"Riau Archipelago"
Malaysia,MIRI,MYMYY,16,14,17,14,8,"MIRI ANCH",Indonesia,"Riau Archipelago"
Indonesia,"PEMANCINGAN ANCH",,16,8,5,12,8,,Indonesia,"Java Sea"
Malaysia,"PORT DICKSON",MYPDI,16,7,9,10,8,"PORT DICKSON ANCH",Indonesia,"Malacca Strait"
Indonesia,"TANJUNG UBAN",IDITN,16,27,28,8,7,"TANJUNG UBAN ANCH",Indonesia,"Singapore Area"
Indonesia,BENGKULU,IDBKS,16,3,3,2,7,"BENGKULU ANCH",Indonesia,Indonesia
Malaysia,KERTIH,MYKET,16,2,2,2,8,"KERTIH ANCH",Indonesia,"Riau Archipelago"
Indonesia,TANGGUH,,16,17,16,1,9,"TANGGUH ANCH",Indonesia,Indonesia
India,"MUNDRA ANCH",,16,7,12,0,5.5,,"West Coast India","West Coast India"
India,KOLKATA,INCCU,15,5,3,13,5.5,"KOLKATA ANCH","East Coast India","Bengal Bay"
India,MANGALORE,INNML,15,8,8,12,5.5,"MANGALORE ANCH","West Coast India","West Coast India"
India,ENNORE,INENR,15,16,16,11,5.5,"ENNORE ANCH","East Coast India","Bengal Bay"
Philippines,"MANILA SOUTH HARBOR",PHMNS,15,14,12,5,8,"MANILA ANCH",Philippines,Philippines
Malaysia,"PORT DICKSON ANCH",,15,4,6,0,8,,Indonesia,"Malacca Strait"
Indonesia,KETAPANG,IDKTG,14,71,66,15,7,,Indonesia,"Java Sea"
Indonesia,TUBAN,IDTBN,14,18,14,12,7,"TUBAN ANCH",Indonesia,"Java Sea"
India,DAHEJ,INDAH,14,4,3,9,5.5,"BHAVNAGAR ANCH","West Coast India","West Coast India"
Indonesia,"MUARA PANTAI",IDMPN,14,1,2,3,8,,Indonesia,"Celebes Sea"
Indonesia,"MUARA SABAK",IDMSK,14,5,8,3,8,,Indonesia,"Java Sea"
Indonesia,"MAKASSAR ANCH",,14,7,9,2,8,,Indonesia,"Java Sea"
India,"HAZIRA ANCH",,14,8,7,1,5.5,,"West Coast India","West Coast India"
Indonesia,"AMAMAPARE ANCH",,14,7,6,0,9,,Indonesia,"Arafura Sea"
Indonesia,"BELAWAN ANCH",,14,8,8,0,7,,Indonesia,"Malacca Strait"
"French Polynesia","BORA BORA",PFBOB,14,2,6,0,-10,,"South Pacific","South Pacific"
India,"KOLKATA ANCH",,14,10,8,0,5.5,,"East Coast India","Bengal Bay"
India,"PARADIP ANCH",,14,15,19,0,5.5,,"East Coast India","Bengal Bay"
"Sri Lanka",GALLE,LKGAL,13,12,11,19,5.5,"GALLE ANCH","East Coast India","Laccadive Sea"
Indonesia,CILACAP,IDCXP,13,4,2,13,7,"CILACAP ANCH",Indonesia,Indonesia
Indonesia,LEMBAR,IDLBR,13,17,23,10,8,"LEMBAR ANCH",Indonesia,"Timor Sea"
Philippines,"CAGAYAN DE ORO",PHCGY,13,11,9,9,8,"CAGAYAN DE ORO ANCH",Philippines,Philippines
Indonesia,"NIPA ANCH",,13,6,6,9,8,,Indonesia,"Singapore Area"
Indonesia,MUNTOK,IDMUO,13,12,13,7,7,"MUNTOK ANCH",Indonesia,"Java Sea"
Vietnam,"DONG NAI",VNDNA,13,8,8,6,8,,"South-East Asia","South-East Asia"
Philippines,"GENERAL SANTOS",PHGES,13,3,1,4,8,,Philippines,Philippines
Thailand,BANGPAKONG,THBGP,13,9,6,3,7,"BANGPAKONG ANCH","South-East Asia","Gulf of Thailand"
"Sri Lanka",TRINCOMALEE,LKTRR,13,1,0,3,5.5,"TRINCOMALEE ANCH","East Coast India","East Coast India"
Indonesia,"BITUNG ANCH",,13,1,2,2,8,,Indonesia,Indonesia
Indonesia,"SURABAYA ANCH",,13,21,18,1,7,,Indonesia,"Java Sea"
India,"MANGALORE ANCH",,13,4,6,0,5.5,,"West Coast India","West Coast India"
Singapore,"PONGGOL COUNTRY CLUB",,13,7,7,0,8,,Indonesia,"Singapore Area"
"French Polynesia","ROTOAVA ANCH",,13,9,6,0,-10,,"South Pacific","South Pacific"
"French Polynesia",TAIOHAE,PFTAI,13,4,5,0,-9.3,,"South Pacific","South Pacific"
Singapore,"TANAH MERAH",,13,47,45,0,8,"SINGAPORE ANCH",Indonesia,"Singapore Area"
Indonesia,BITUNG,IDBIT,12,4,4,12,8,"BITUNG ANCH",Indonesia,Indonesia
Vietnam,"SON DUONG",VNSDP,12,8,4,7,7,,"South-East Asia","South-East Asia"
Malaysia,SAMALAJU,MYSIP,12,2,3,5,8,"SAMALAJU ANCH",Indonesia,"Riau Archipelago"
Malaysia,KUCHING,MYKCH,12,1,3,4,8,"KUCHING ANCH",Indonesia,"Riau Archipelago"
Russia,NEVELSK,RUNEV,12,6,1,4,11,"NEVELSK ANCH","CIS Pacific","Okhotsk Sea"
Thailand,"LAEM CHABANG ANCH",,12,28,28,3,7,,"South-East Asia","Gulf of Thailand"
Indonesia,"KRUENG GEUKUEH",IDKGH,12,1,0,2,7,"LHOKSEUMAWE ANCH",Indonesia,"Malacca Strait"
India,"NAVLAKHI ANCH",,12,11,8,2,5.5,,"West Coast India","West Coast India"
Malaysia,"MALACCA ANCH",,12,13,8,1,8,,Indonesia,"Malacca Strait"
Russia,"SHAKHTERSK ANCH",,12,30,22,1,11,,"CIS Pacific","Okhotsk Sea"
Malaysia,"SUNGAI UDANG",MYSUP,12,3,2,1,8,"MALACCA ANCH",Indonesia,"Malacca Strait"
India,"JAIGAD ANCH",,12,5,5,0,5.5,,"West Coast India","West Coast India"
Malaysia,"LUMUT ANCH",,12,7,4,0,8,,Indonesia,"Malacca Strait"
Thailand,"SONGKHLA ANCH",,12,2,5,0,7,,"South-East Asia","Gulf of Thailand"
Philippines,"SUBIC BAY ANCH",,12,10,10,0,8,,Philippines,Philippines
Brunei,MUARA,BNMUA,11,9,11,30,8,"MUARA ANCH",Indonesia,"Riau Archipelago"
Indonesia,BAKAUHENI,IDTKG,11,97,99,6,7,,Indonesia,"Java Sea"
Indonesia,"ADANG BAY",IDADB,11,2,1,5,8,,Indonesia,"Makassar Strait"
Indonesia,KALBUT,IDKSO,11,2,1,5,7,,Indonesia,"Java Sea"
Indonesia,"TANJUNG BARA",IDTBA,11,18,20,5,8,"TANJUNG BARA ANCH",Indonesia,"Makassar Strait"
Indonesia,"LUBUK GAUNG",,11,6,5,4,7,"DUMAI ANCH",Indonesia,"Malacca Strait"
India,"COCHIN ANCH",,11,18,18,1,5.5,,"West Coast India","West Coast India"
Vietnam,"GO DAU",VNGDA,11,1,3,1,7,,"South-East Asia","South-East Asia"
Thailand,KRABI,THKBV,11,7,6,1,7,,"South-East Asia","Andaman Sea"
Indonesia,"MEULABOH ANCH",,11,8,8,1,7,,Indonesia,Indonesia
Myanmar,THILAWA,MMTLA,11,2,1,1,6.5,"YANGON ANCH","South-East Asia","Andaman Sea"
Indonesia,MARABAHAN,IDMAR,11,0,6,0,8,,Indonesia,"Java Sea"
Malaysia,"PENANG ANCH",,11,4,3,0,8,,Indonesia,"Malacca Strait"
Pakistan,"PORT QASIM ANCH",,11,3,3,0,5,,"West Coast India","West Coast India"
India,"SIKKA ANCH",,11,7,5,0,5.5,,"West Coast India","West Coast India"
India,KRISHNAPATNAM,INKRI,10,12,10,12,5.5,"KRISHNAPATNAM ANCH","East Coast India","Bengal Bay"
India,GANGAVARAM,INGGV,10,4,5,10,5.5,"GANGAVARAM ANCH","East Coast India","Bengal Bay"
India,PIPAVAV,INPAV,10,3,2,10,5.5,"PIPAVAV ANCH","West Coast India","West Coast India"
Cambodia,SIHANOUKVILLE,KHKOS,10,13,7,9,7,"SIHANOUKVILLE ANCH","South-East Asia","Gulf of Thailand"
Thailand,RAYONG,THPKN,10,8,11,6,7,"MAP TA PHUT ANCH","South-East Asia","Gulf of Thailand"
India,DHARAMTAR,INDMT,10,19,17,5,5.5,"MUMBAI ANCH","West Coast India","West Coast India"
Malaysia,PENGERANG,MYPGG,10,27,26,4,8,"PASIR GUDANG ANCH",Indonesia,"Singapore Area"
India,SAGAR,INSGR,10,7,9,4,5.5,,"East Coast India","Bengal Bay"
Thailand,SATTAHIP,THSAT,10,6,5,4,7,"SATTAHIP ANCH","South-East Asia","Gulf of Thailand"
Indonesia,BATULICIN,IDBTW,10,21,24,1,8,,Indonesia,"Java Sea"
India,"KRISHNAPATNAM ANCH",,10,8,7,1,5.5,,"East Coast India","Bengal Bay"
Maldives,"MALE ANCH",,10,3,4,0,5,,"West Coast India","West Coast India"
"French Polynesia","OPUNOHU BAY",,10,5,4,0,-10,,"South Pacific","South Pacific"
Singapore,"PULAU PUNGGOL TIMOR",,10,13,13,0,8,,Indonesia,"Singapore Area"
Indonesia,CIGADING,IDCIG,9,2,3,15,7,"CIWANDAN ANCH",Indonesia,"Java Sea"
Vietnam,"CAM PHA",VNCPH,9,5,10,10,7,"CAM PHA ANCH","South-East Asia","South-East Asia"
Indonesia,TARJUN,IDTAR,9,7,9,9,8,"PEMANCINGAN ANCH",Indonesia,"Java Sea"
India,NAVLAKHI,INNAV,9,6,8,6,5.5,"NAVLAKHI ANCH","West Coast India","West Coast India"
Indonesia,SORONG,IDSOQ,9,1,0,5,9,"SORONG ANCH",Indonesia,Indonesia
Philippines,ILOILO,PHILO,9,15,17,4,8,"ILOILO ANCH",Philippines,"Sulu Sea"
"Sri Lanka",HAMBANTOTA,LKHBA,9,5,5,3,5.5,"HAMBANTOTA ANCH","East Coast India","Laccadive Sea"
Philippines,MATNOG,PHMTN,9,21,21,3,8,,Philippines,Philippines
Russia,SHAKHTERSK,RUSHA,9,22,29,2,11,"SHAKHTERSK ANCH","CIS Pacific","Okhotsk Sea"
Russia,SLAVYANKA,RUSKA,9,7,12,2,10,"SLAVYANKA ANCH","CIS Pacific","CIS Pacific"
Indonesia,AMAMAPARE,IDAMA,9,5,8,1,9,"AMAMAPARE ANCH",Indonesia,"Arafura Sea"
Philippines,"CAGDIANAO ANCH",,9,3,4,1,8,,Philippines,Philippines
"American Samoa","PAGO PAGO",ASPPG,9,0,0,1,-11,"PAGO PAGO ANCH","South Pacific","South Pacific"
Indonesia,"CIWANDAN ANCH",,9,6,10,0,7,,Indonesia,"Java Sea"
Vietnam,"DA NANG ANCH",,9,12,14,0,7,,"South-East Asia","South-East Asia"
Russia,"DUDINKA ANCH",,9,12,12,0,7,,"CIS Pacific","Kara Sea"
Indonesia,"LUBUKTUTUNG ANCH",,9,9,7,0,7,,Indonesia,"Makassar Strait"
Thailand,PATTAYA,THPYX,9,1,1,0,7,,"South-East Asia","Gulf of Thailand"
Brunei,"KUALA BELAIT",BNKUB,8,24,23,11,8,"KUALA BELAIT ANCH",Indonesia,"Riau Archipelago"
India,DHAMRA,INDMQ,8,3,4,10,5.5,"DHAMRA ANCH","East Coast India","Bengal Bay"
Malaysia,"TANJUNG LANGSAT",MYTLA,8,18,17,5,8,"PASIR GUDANG ANCH",Indonesia,"Singapore Area"
Indonesia,AMBON,IDAMQ,8,1,5,4,9,"AMBON ANCH",Indonesia,"Banda Sea"
Indonesia,KAHYANGAN,IDKHY,8,27,25,4,8,,Indonesia,"Timor Sea"
Vietnam,"VUNG ANG",VNVAG,8,10,10,3,7,,"South-East Asia","South-East Asia"
Philippines,ISABEL,PHISL,8,0,1,2,8,"ISABEL ANCH",Philippines,Philippines
Indonesia,MERAUKE,IDMKQ,8,3,2,2,9,"MERAUKE ANCH",Indonesia,"Arafura Sea"
Indonesia,"TANJUNG PINANG",IDTNJ,8,16,18,2,7,"TANJUNG PINANG ANCH",Indonesia,"Singapore Area"
Indonesia,TUAL,IDTUA,8,6,7,2,9,"TUAL ANCH",Indonesia,"Arafura Sea"
Indonesia,"AMBON ANCH",,8,6,5,1,9,,Indonesia,"Banda Sea"
Indonesia,GILIMANUK,IDGIL,8,66,71,1,8,,Indonesia,"Java Sea"
Russia,KOZMINO,RUKOZ,8,7,6,1,10,"NAKHODKA ANCH","CIS Pacific","CIS Pacific"
Russia,"VLADIVOSTOK ANCH",,8,18,19,1,10,,"CIS Pacific","CIS Pacific"
"French Polynesia",ATUONA,PFAUQ,8,0,2,0,-9.5,"ATUONA BAY ANCH","South Pacific","South Pacific"
Philippines,"CALACA ANCH",,8,4,7,0,8,,Philippines,Philippines
"Sri Lanka","COLOMBO ANCH",,8,10,8,0,5.5,,"East Coast India","Laccadive Sea"
India,"KAKINADA ANCH",,8,4,2,0,5.5,,"East Coast India","Bengal Bay"
Malaysia,"STRAITS QUAY",,8,1,2,0,8,,Indonesia,"Malacca Strait"
Indonesia,"TUBAN ANCH",,8,4,7,0,7,,Indonesia,"Java Sea"
Russia,ZARUBINO,RUZAR,7,2,2,10,10,"ZARUBINO ANCH","CIS Pacific","CIS Pacific"
Indonesia,CIWANDAN,IDCIW,7,10,7,7,7,"CIWANDAN ANCH",Indonesia,"Java Sea"
Philippines,DUMAGUETE,PHDGT,7,2,4,3,8,,Philippines,"Sulu Sea"
Russia,KHOLMSK,RUKHO,7,2,3,3,11,"KHOLMSK ANCH","CIS Pacific","Okhotsk Sea"
Malaysia,MELAKA,MYMEA,7,6,8,3,8,"MALACCA ANCH",Indonesia,"Malacca Strait"
Malaysia,"KOTA KINABALU ANCH",,7,8,7,1,8,,Indonesia,"Riau Archipelago"
Indonesia,"MEKAR PUTIH",,7,2,3,1,8,"MEKAR PUTIH ANCH",Indonesia,"Java Sea"
Indonesia,POMAKO,IDPMK,7,1,2,1,9,"AMAMAPARE ANCH",Indonesia,"Arafura Sea"
Malaysia,"TELUK RUBIAH",MYTRB,7,2,5,1,9,"LUMUT ANCH",Indonesia,"Malacca Strait"
Vietnam,"BA NGOI",VNBNO,7,5,6,0,7,"BA NGOI ANCH","South-East Asia","South-East Asia"
Malaysia,"BRUNEI BAY",,7,5,2,0,8,,Indonesia,"Riau Archipelago"
Philippines,"DAVAO ANCH",,7,4,6,0,8,,Philippines,Philippines
India,"DHAMRA ANCH",,7,3,4,0,5.5,,"East Coast India","Bengal Bay"
India,"GANGAVARAM ANCH",,7,2,3,0,5.5,,"East Coast India","Bengal Bay"
Pakistan,"KARACHI ANCH",,7,8,8,0,5,,"West Coast India","West Coast India"
Malaysia,"KERTIH ANCH",,7,1,2,0,8,,Indonesia,"Riau Archipelago"
Indonesia,"MIGAS LNG BATUI",,7,0,0,0,8,,Indonesia,"Molucca Sea"
"New Zealand","MILFORD SOUND",NZMFN,7,6,5,0,12,,"South Pacific","Tasman Sea"
Philippines,"SAN CARLOS",PHSCA,7,3,3,0,8,,Philippines,Philippines
Indonesia,"SURALAYA ANCH",,7,2,3,0,7,,Indonesia,"Java Sea"
Indonesia,"TANGGUH ANCH",,7,2,3,0,9,,Indonesia,Indonesia
Indonesia,"TANJUNG BARA ANCH",,7,15,13,0,8,,Indonesia,"Makassar Strait"
Indonesia,"TELUKBAYUR ANCH",,7,6,5,0,7,,Indonesia,Indonesia
Russia,"VANINO ANCH",,7,8,11,0,10,,"CIS Pacific","Okhotsk Sea"
Thailand,"KO SICHANG",THKSI,6,8,11,35,7,"SRIRACHA ANCH","South-East Asia","Gulf of Thailand"
Indonesia,KUPANG,IDKOE,6,9,6,6,8,"KUPANG ANCH",Indonesia,"Timor Sea"
Indonesia,LAMONGAN,IDLAM,6,3,4,4,7,,Indonesia,"Java Sea"
Indonesia,WAYAME,,6,3,6,4,9,"AMBON ANCH",Indonesia,"Banda Sea"
Philippines,CALACA,PHCAA,6,2,5,3,8,"CALACA ANCH",Philippines,Philippines
Indonesia,PELINTUNG,,6,5,2,3,7,,Indonesia,"Malacca Strait"
Indonesia,SERUI,IDZRI,6,2,4,3,9,,Indonesia,Indonesia
Indonesia,"KUALA TANJUNG",IDKTJ,6,2,6,2,7,,Indonesia,"Malacca Strait"
Indonesia,PROBOLINGGO,IDPRO,6,1,2,2,7,,Indonesia,"Java Sea"
Russia,SOVGAVAN,RUSOG,6,4,3,2,10,"SOVGAVAN ANCH","CIS Pacific","Okhotsk Sea"
Indonesia,"LUBUK TUTUNG",IDLTT,6,5,9,1,8,"LUBUKTUTUNG ANCH",Indonesia,"Makassar Strait"
Philippines,"TAWI TAWI",PHTWT,6,0,0,1,8,,Philippines,"Sulu Sea"
Russia,YUZHNO-MORSKOY,,6,1,1,1,10,"YUZHNO-MORSKOY ANCH","CIS Pacific","CIS Pacific"
Russia,"BERINGOVSKY ANCH",,6,17,21,0,12,,"CIS Pacific","Bering Sea"
India,"BHAVNAGAR NEW PORT",,6,8,10,0,5.5,"BHAVNAGAR ANCH","West Coast India","West Coast India"
Russia,DE-KASTRI,RUDKA,6,0,0,0,10,,"CIS Pacific","Okhotsk Sea"
India,"ENNORE ANCH",,6,3,2,0,5.5,,"East Coast India","Bengal Bay"
Indonesia,"MERAUKE ANCH",,6,0,1,0,9,,Indonesia,"Arafura Sea"
Malaysia,"MIRI ANCH",,6,0,1,0,8,,Indonesia,"Riau Archipelago"
Indonesia,"PANJANG ANCH",,6,6,5,0,7,,Indonesia,"Java Sea"
Malaysia,"SAMALAJU ANCH",,6,1,0,0,8,,Indonesia,"Riau Archipelago"
Malaysia,SUTERA,,6,5,6,0,8,,Indonesia,"Riau Archipelago"
Philippines,"TAGANITO ANCH",,6,2,4,0,8,,Philippines,Philippines
Indonesia,"TANJUNG PANDAN",IDTJQ,6,1,2,0,7,,Indonesia,"Java Sea"
Russia,DUDINKA,RUDUD,5,5,5,9,7,"DUDINKA ANCH","CIS Pacific","Kara Sea"
Philippines,LIMAY,PHLIM,5,7,10,9,8,"LIMAY ANCH",Philippines,Philippines
Thailand,"SURAT THANI",THURT,5,1,4,8,7,"THATHONG ANCH","South-East Asia","Gulf of Thailand"
Indonesia,"OBI ISLAND",IDOBI,5,5,4,6,9,,Indonesia,"Molucca Sea"
India,KATTUPALLI,INKAT,5,4,6,4,5.5,"KATTUPALLI ANCH","East Coast India","Bengal Bay"
India,MAGDALLA,INMDA,5,3,2,4,5.5,"HAZIRA ANCH","West Coast India","West Coast India"
Vietnam,"CHU LAI",VNC8Q,5,3,3,3,7,,"South-East Asia","South-East Asia"
Indonesia,BAYAH,IDBYH,5,2,3,2,7,,Indonesia,Indonesia
India,"BHAVNAGAR ANCH",,5,10,10,2,5.5,,"West Coast India","West Coast India"
Philippines,CAGDIANAO,PHCDN,5,2,2,2,8,"CAGDIANAO ANCH",Philippines,Philippines
Philippines,"CEBU ANCH",,5,5,6,2,8,,Philippines,Philippines
Belgium,EXCELLENCE,,5,9,14,2,6,,"East Coast India","Bengal Bay"
Indonesia,"ASAM ASAM",IDIAM,5,2,3,1,8,,Indonesia,"Java Sea"
Indonesia,BULA,IDBUA,5,2,4,1,9,,Indonesia,Indonesia
Indonesia,JAYAPURA,IDDJJ,5,1,3,1,9,"JAYAPURA ANCH",Indonesia,Indonesia
Indonesia,"KUPANG ANCH",,5,6,5,1,8,,Indonesia,"Timor Sea"
Singapore,TEKONG,,5,58,55,1,8,,Indonesia,"Singapore Area"
Philippines,ZAMBOANGA,PHZAM,5,3,5,1,8,"ZAMBOANGA ANCH",Philippines,"Sulu Sea"
Indonesia,"BANDA ACEH",IDBTJ,5,8,9,0,7,,Indonesia,Indonesia
Thailand,"BANGKOK ANCH",,5,9,8,0,7,,"South-East Asia","Gulf of Thailand"
Indonesia,"BONTANG ANCH",,5,6,5,0,8,,Indonesia,"Makassar Strait"
Philippines,"CAGAYAN DE ORO ANCH",,5,5,5,0,8,,Philippines,Philippines
Indonesia,"CILEGON ANCH",,5,3,2,0,7,,Indonesia,"Java Sea"
Indonesia,"CIREBON ANCH",,5,4,2,0,7,,Indonesia,"Java Sea"
Indonesia,"GALANG ANCH",,5,0,0,0,7,,Indonesia,"Singapore Area"
India,GHOGHA,INGHA,5,1,1,0,5.5,"BHAVNAGAR ANCH","West Coast India","West Coast India"
India,"MORMUGAO ANCH",,5,0,1,0,5.5,,"West Coast India","West Coast India"
Philippines,"ORMOC ANCH",,5,0,1,0,8,,Philippines,Philippines
India,PANAJI,INPAN,5,0,0,0,5.5,"MORMUGAO ANCH","West Coast India","West Coast India"
India,"PIPAVAV ANCH",,5,1,1,0,5.5,,"West Coast India","West Coast India"
Russia,PRAVDA,,5,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Indonesia,"SEMARANG ANCH",,5,4,5,0,7,,Indonesia,"Java Sea"
Indonesia,"TANJUNG JATI",,5,0,0,0,7,"TANJUNG JATI ANCH",Indonesia,"Java Sea"
Indonesia,"TARAKAN ANCH",,5,2,1,0,8,,Indonesia,"Celebes Sea"
Thailand,"THATHONG ANCH",,5,4,2,0,7,,"South-East Asia","Gulf of Thailand"
Indonesia,"TUAL ANCH",,5,3,4,0,9,,Indonesia,"Arafura Sea"
Philippines,TUBAY,,5,0,0,0,8,,Philippines,Philippines
Vietnam,"QUI NHON",VNUIH,4,4,0,8,7,"QUI NHON ANCH","South-East Asia","South-East Asia"
Indonesia,TARAKAN,IDTRK,4,2,2,8,8,"TARAKAN ANCH",Indonesia,"Celebes Sea"
Philippines,BACOLOD,PHBCD,4,17,19,7,8,"BACOLOD ANCH",Philippines,"Sulu Sea"
Indonesia,"TANJUNG PEMANCINGAN",IDTPN,4,1,1,7,8,"PEMANCINGAN ANCH",Indonesia,"Java Sea"
India,KARAIKAL,INKRK,4,0,0,6,5.5,"KARAIKAL ANCH","East Coast India","Bengal Bay"
Philippines,DALAHICAN,PHQZT,4,7,6,5,8,,Philippines,Philippines
Indonesia,KUMAI,IDKUM,4,1,2,5,7,"KUMAI ANCH",Indonesia,"Java Sea"
Russia,MAGADAN,RUGDX,4,3,3,5,12,"MAGADAN ANCH","CIS Pacific","Okhotsk Sea"
Indonesia,BAUBAU,IDBUW,4,8,8,4,8,,Indonesia,"Banda Sea"
Philippines,CALAPAN,PHCLP,4,25,23,4,8,,Philippines,Philippines
Indonesia,PABELOKAN,,4,6,6,4,7,,Indonesia,"Java Sea"
Indonesia,PAITON,IDPAI,4,2,4,4,7,"PAITON ANCH",Indonesia,"Java Sea"
Russia,PLASTUN,RUPTN,4,1,2,4,10,"PLASTUN ANCH","CIS Pacific","CIS Pacific"
Russia,SEVERO-KURILSK,RUSVK,4,4,2,4,12,"SEVERO-KURILSK ANCH","CIS Pacific","CIS Pacific"
Philippines,ILIGAN,,4,1,0,3,8,,Philippines,Philippines
Russia,"PETROPAVLOVSK ANCH",,4,4,3,3,12,,"CIS Pacific","Bering Sea"
Philippines,SANGI,PHSNG,4,5,5,3,8,"SANGI ANCH",Philippines,Philippines
Indonesia,"SUNGAI PAKNING",IDSEQ,4,0,0,3,7,"SUNGAI PAKNING ANCH",Indonesia,"Malacca Strait"
Philippines,VILLANUEVA,PHVNV,4,1,1,3,8,"CAGAYAN DE ORO ANCH",Philippines,Philippines
Indonesia,WIDURI,IDWID,4,3,2,3,7,,Indonesia,"Java Sea"
Philippines,ALLEN,,4,8,13,2,8,,Philippines,Philippines
Indonesia,BENETE,IDBEN,4,4,2,2,8,"BENETE ANCH",Indonesia,"Timor Sea"
Indonesia,KIJANG,IDKIJ,4,1,1,2,7,"KIJANG ANCH",Indonesia,"Singapore Area"
Philippines,ORMOC,PHORC,4,8,7,2,8,"ORMOC ANCH",Philippines,Philippines
Indonesia,SIBOLGA,IDSLG,4,2,1,2,7,"SIBOLGA ANCH",Indonesia,Indonesia
Indonesia,"SUNGAI PAKNING ANCH",,4,6,7,2,7,,Indonesia,"Malacca Strait"
Philippines,TAGOLOAN,PHTGO,4,1,3,2,8,"CAGAYAN DE ORO ANCH",Philippines,Philippines
Samoa,APIA,WSAPW,4,1,1,1,15,,"South Pacific","South Pacific"
Indonesia,BADAS,IDPBB,4,1,3,1,8,,Indonesia,"Timor Sea"
Philippines,CALBAYOG,PHCBY,4,0,0,1,8,,Philippines,Philippines
Brunei,"KUALA BELAIT ANCH",,4,5,7,1,9,,Indonesia,"Riau Archipelago"
Malaysia,"MARANG JETTY",,4,2,4,1,8,,Indonesia,"Riau Archipelago"
Indonesia,"SENIPAH OIL TERMINAL",IDSPH,4,1,2,1,8,,Indonesia,"Makassar Strait"
Malaysia,"DULANG OIL FIELD",,4,2,2,0,8,,"South-East Asia","Riau Archipelago"
Indonesia,FUTONG,IDFTG,4,3,2,0,8,"FUTONG ANCH",Indonesia,"Malacca Strait"
Philippines,HILONGOS,PHHIL,4,1,1,0,8,,Philippines,Philippines
Vietnam,"HON LA",VNHLP,4,2,4,0,7,,"South-East Asia","South-East Asia"
India,KOLLAM,INQUI,4,0,0,0,5.5,,"West Coast India","Laccadive Sea"
Russia,"KORSAKOV ANCH",,4,5,5,0,11,,"CIS Pacific","Okhotsk Sea"
Malaysia,"KUALA BARAM",MYKBA,4,0,0,0,8,"MIRI ANCH",Indonesia,"Riau Archipelago"
Malaysia,"KUANTAN CITY",,4,0,0,0,8,,Indonesia,"Riau Archipelago"
Philippines,"LIMAY ANCH",,4,17,12,0,8,,Philippines,Philippines
Philippines,LUGAIT,PHLUG,4,1,2,0,8,"LUGAIT ANCH",Philippines,Philippines
