Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
Indonesia,"POMALAA ANCH",,0,0,0,0,8,,Indonesia,"Banda Sea"
India,PONNANI,INPNN,0,0,0,0,5.5,,"West Coast India","West Coast India"
Russia,POPOVA,,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
India,"PORBANDAR ANCH",,0,0,0,0,5.5,,"West Coast India","West Coast India"
Russia,PORONAYSK,RUPRN,0,0,0,0,11,,"CIS Pacific","Okhotsk Sea"
Thailand,"PRACHUAP ANCH",,0,0,0,0,7,,"South-East Asia","Gulf of Thailand"
Singapore,"PTSC BIEN DONG 01",,0,0,0,0,7,,Indonesia,"Riau Archipelago"
Singapore,"PTSC LAM SON",,0,0,0,0,7,,"South-East Asia","South-East Asia"
Indonesia,"PULANG PISAU",IDPPS,0,0,0,0,7,,Indonesia,"Java Sea"
Vietnam,"PVN DAI HUNG QUEEN",,0,0,0,0,7,,Indonesia,"Riau Archipelago"
Vietnam,"RACH GIA",VNVKG,0,0,0,0,7,,"South-East Asia","South-East Asia"
"New Zealand",RAGLAN,NZRAG,0,0,0,0,12,,"South Pacific","Tasman Sea"
Indonesia,RAIJUA,,0,0,0,0,8,,Indonesia,"Timor Sea"
Russia,RAKUSHKA,,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
India,RAMESHWARAM,INRAM,0,0,0,0,5.5,,"East Coast India","Bengal Bay"
India,RANPAR,INRNR,0,0,0,0,5.5,"RANPAR ANCH","West Coast India","West Coast India"
India,"RANPAR ANCH",,0,0,0,0,5.5,,"West Coast India","West Coast India"
Liberia,RAROA,,0,0,0,0,12,,"South Pacific","South Pacific"
"Cook Islands","RAROTONGA ANCH",,0,0,0,0,-10,,"South Pacific","South Pacific"
India,"RATNAGIRI ANCH",,0,0,0,0,5.5,,"West Coast India","West Coast India"
Indonesia,"RATU NUSANTARA",,0,0,0,0,8,,Indonesia,"Java Sea"
Malaysia,"RATU SONGKHLA",,0,1,0,0,7,,"South-East Asia","Riau Archipelago"
Russia,REYNEKE,,0,0,0,0,10,,"CIS Pacific","CIS Pacific"
Malaysia,"ROYAL LANGKAWI YC",,0,0,0,0,8,,Indonesia,"Malacca Strait"
Thailand,"ROYAL PHUKET",,0,0,0,0,7,,"South-East Asia","Andaman Sea"
Panama,"RUBICON INTREPID",,0,0,0,0,8,,Philippines,Philippines
Singapore,"RUBICON VANTAGE",,0,0,0,0,7,,"South-East Asia","Gulf of Thailand"
