Port,Year,Week,"Commercial Market","Commercial Size Class"," Median Waiting Time Off Port Limits","Waiting Time Off Port Limits Confidence Score ","Median Time At Port","Time At Port Confidence Score","Median Waiting Time Off Port Limits  Standard Deviation ","Time At Port Standard Deviation","Median Waiting Time Off Port Limits Difference (week-to-week)","Waiting Time Off Port Limits  % Difference (week-to-week)","Time At Port Difference (week-to-week)","Time At Port % Difference (week-to-week)","Number Of Calls","Number Of Vessels","Port Country",Unlocode
Amamapare,2022,21,ALL,ALL,1.3,HIGH,1.1,HIGH,3.5,2.7,-1.0,-43.5,0.2,22.2,10,9,Indonesia,IDAMA
"Adang bay",2022,21,ALL,ALL,0.1,HIGH,5.0,HIGH,,1.0,,,-0.7,-12.3,10,10,Indonesia,IDADB
Wayame,2022,20,ALL,ALL,0.8,HIGH,1.4,HIGH,2.1,2.0,-1.3,-61.9,-0.1,-6.7,16,15,Indonesia,
Waingapu,2022,20,ALL,ALL,,MEDIUM,0.3,MEDIUM,,0.4,,,0.0,0.0,6,5,Indonesia,IDWGP
Tuban,2022,20,ALL,ALL,0.5,LOW,1.8,LOW,2.2,4.1,-0.3,-37.5,0.9,100.0,17,12,Indonesia,IDTBN
Tual,2022,20,ALL,ALL,2.6,MEDIUM,8.4,MEDIUM,1.4,5.8,1.7,188.9,-12.1,-59.0,18,8,Indonesia,IDTUA
Tolitoli,2022,20,ALL,ALL,0.8,LOW,2.0,LOW,,,,,0.2,11.1,1,1,Indonesia,IDTLI
Ternate,2022,20,ALL,ALL,0.8,LOW,5.1,LOW,0.3,22.6,0.0,0.0,-31.3,-86.0,29,6,Indonesia,IDTTE
Telukbayur,2022,20,ALL,ALL,0.3,LOW,1.8,LOW,2.9,8.5,-2.1,-87.5,-0.3,-14.3,23,20,Indonesia,IDTBR
Tarjun,2022,20,ALL,ALL,0.2,LOW,1.5,LOW,,0.7,,,-5.3,-77.9,2,2,Indonesia,IDTAR
Tarakan,2022,20,ALL,ALL,0.4,LOW,1.1,LOW,1.7,0.2,-4.3,-91.5,-0.1,-8.3,4,3,Indonesia,IDTRK
Tarahan,2022,20,ALL,ALL,0.9,LOW,0.9,LOW,1.4,10.3,-0.8,-47.1,-3.6,-80.0,10,8,Indonesia,IDTRH
"Tanjung uban",2022,20,ALL,ALL,2.4,LOW,0.6,LOW,2.2,0.9,1.3,118.2,0.6,0.0,37,20,Indonesia,IDITN
"Tanjung pinang",2022,20,ALL,ALL,,LOW,1.7,LOW,,0.0,,,,,2,1,Indonesia,IDTNJ
"Tanjung pemancingan",2022,20,ALL,ALL,5.0,LOW,1.4,LOW,,2.0,4.5,900.0,-1.5,-51.7,2,2,Indonesia,IDTPN
"Tanjung jati",2022,20,ALL,ALL,1.9,MEDIUM,4.0,MEDIUM,1.3,5.5,1.0,111.1,1.0,33.3,3,3,Indonesia,
"Tanjung bara",2022,20,ALL,ALL,4.1,LOW,1.1,LOW,12.3,0.4,0.8,24.2,-0.4,-26.7,8,7,Indonesia,IDTBA
Tangguh,2022,20,ALL,ALL,1.5,MEDIUM,1.6,MEDIUM,0.5,0.3,0.7,87.5,0.1,6.7,2,2,Indonesia,
Suralaya,2022,20,ALL,ALL,0.4,LOW,0.8,LOW,0.1,2.5,-0.3,-42.9,-0.6,-42.9,26,19,Indonesia,IDSRL
Surabaya,2022,20,ALL,ALL,1.3,HIGH,0.7,HIGH,3.9,5.4,-0.6,-31.6,0.0,0.0,226,143,Indonesia,IDSUB
"Sungai pakning",2022,20,ALL,ALL,0.3,MEDIUM,1.7,MEDIUM,,,-0.3,-50.0,0.1,6.3,1,1,Indonesia,IDSEQ
Sorong,2022,20,ALL,ALL,3.7,MEDIUM,0.9,MEDIUM,3.9,18.2,3.3,825.0,-0.3,-25.0,8,7,Indonesia,IDSOQ
Sibolga,2022,20,ALL,ALL,,LOW,26.7,LOW,,17.3,,,7.0,35.5,10,5,Indonesia,IDSLG
Semarang,2022,20,ALL,ALL,0.6,LOW,0.8,LOW,2.5,12.6,-0.1,-14.3,0.3,60.0,36,33,Indonesia,IDSRG
Saumlaki,2022,20,ALL,ALL,13.0,MEDIUM,0.5,MEDIUM,13.6,0.6,11.3,664.7,0.3,150.0,4,4,Indonesia,IDSXK
Sampit,2022,20,ALL,ALL,0.5,HIGH,2.0,HIGH,0.5,8.2,0.3,150.0,-4.6,-69.7,14,14,Indonesia,IDSMQ
Samarinda,2022,20,ALL,ALL,0.4,HIGH,1.9,HIGH,0.3,1.7,-0.6,-60.0,-0.1,-5.0,16,16,Indonesia,IDSRI
Pontianak,2022,20,ALL,ALL,0.5,LOW,1.9,LOW,3.4,6.5,0.0,0.0,-0.4,-17.4,38,34,Indonesia,IDPNK
Pomalaa,2022,20,ALL,ALL,,LOW,2.0,LOW,,,,,0.1,5.3,1,1,Indonesia,IDPUM
Pomako,2022,20,ALL,ALL,0.9,MEDIUM,2.3,MEDIUM,1.2,5.9,-0.5,-35.7,0.3,15.0,5,4,Indonesia,IDPMK
Panjang,2022,20,ALL,ALL,0.3,HIGH,1.7,HIGH,3.5,2.2,-1.1,-78.6,0.8,88.9,21,19,Indonesia,IDPNJ
"Pangkalan susu",2022,20,ALL,ALL,1.5,MEDIUM,1.0,MEDIUM,12.4,0.1,0.4,36.4,-1.2,-54.5,4,2,Indonesia,IDPKS
Palopo,2022,20,ALL,ALL,,MEDIUM,1.1,MEDIUM,,0.2,,,-6.6,-85.7,2,2,Indonesia,IDPPO
Palembang,2022,20,ALL,ALL,0.7,LOW,2.5,LOW,1.1,1.4,-0.3,-30.0,-0.5,-16.7,28,27,Indonesia,IDPLM
Paiton,2022,20,ALL,ALL,0.8,MEDIUM,2.1,MEDIUM,0.5,2.8,-0.3,-27.3,1.2,133.3,5,5,Indonesia,IDPAI
Padangbai,2022,20,ALL,ALL,0.1,HIGH,0.1,HIGH,,2.6,,,0.0,0.0,54,14,Indonesia,
Pacitan,2022,20,ALL,ALL,1.2,LOW,2.9,LOW,,,-1.1,-47.8,0.5,20.8,1,1,Indonesia,ID5PP
Nunukan,2022,20,ALL,ALL,,MEDIUM,2.5,MEDIUM,,,,,-3.8,-60.3,1,1,Indonesia,IDNNX
Muntok,2022,20,ALL,ALL,,LOW,0.7,LOW,,0.5,,,-11.3,-94.2,2,1,Indonesia,IDMUO
"Muara pantai",2022,20,ALL,ALL,,LOW,6.0,LOW,,1.5,,,1.2,25.0,7,7,Indonesia,IDMPN
"Migas lng batui",2022,20,ALL,ALL,,LOW,2.3,LOW,,0.4,,,0.4,21.1,2,2,Indonesia,
Meulaboh,2022,20,ALL,ALL,,MEDIUM,0.9,MEDIUM,,,,,0.1,12.5,1,1,Indonesia,IDMEQ
Merauke,2022,20,ALL,ALL,0.3,LOW,2.5,LOW,0.1,19.3,-0.3,-50.0,0.7,38.9,3,3,Indonesia,IDMKQ
Merak,2022,20,ALL,ALL,0.7,MEDIUM,0.0,MEDIUM,1.8,0.5,0.1,16.7,0.0,0.0,661,97,Indonesia,IDMRK
"Mekar putih",2022,20,ALL,ALL,1.8,MEDIUM,1.4,MEDIUM,1.1,1.4,-0.7,-28.0,-0.7,-33.3,6,6,Indonesia,
Maumere,2022,20,ALL,ALL,,MEDIUM,1.8,MEDIUM,,,,,-0.1,-5.3,1,1,Indonesia,IDMOF
Manokwari,2022,20,ALL,ALL,0.2,MEDIUM,0.7,MEDIUM,,0.2,-0.2,-50.0,0.0,0.0,4,4,Indonesia,IDMKW
Manggis,2022,20,ALL,ALL,1.1,HIGH,1.0,HIGH,3.6,7.8,0.3,37.5,-0.1,-9.1,11,10,Indonesia,IDMGB
Malahayati,2022,20,ALL,ALL,2.9,MEDIUM,1.7,MEDIUM,3.6,0.8,2.4,480.0,0.7,70.0,2,2,Indonesia,
Makassar,2022,20,ALL,ALL,0.5,HIGH,0.8,HIGH,2.5,8.1,-0.8,-61.5,0.0,0.0,52,46,Indonesia,IDMAK
Luwuk,2022,20,ALL,ALL,,LOW,48.5,LOW,,26.7,,,41.5,592.9,3,2,Indonesia,IDLUW
"Lubuk gaung",2022,20,ALL,ALL,0.5,LOW,0.8,LOW,1.4,2.1,-0.5,-50.0,-0.5,-38.5,13,12,Indonesia,
Lembar,2022,20,ALL,ALL,1.1,LOW,0.2,LOW,1.7,2.4,0.1,10.0,-0.1,-33.3,108,26,Indonesia,IDLBR
"Lawe lawe",2022,20,ALL,ALL,0.1,MEDIUM,2.2,MEDIUM,,,-1.3,-92.9,0.4,22.2,1,1,Indonesia,IDLLA
Labuanabajo,2022,20,ALL,ALL,,MEDIUM,0.4,MEDIUM,,,,,0.0,0.0,1,1,Indonesia,IDLBJ
Kupang,2022,20,ALL,ALL,0.7,LOW,1.0,LOW,1.6,16.0,-1.5,-68.2,-0.9,-47.4,17,13,Indonesia,IDKOE
Kumai,2022,20,ALL,ALL,0.3,LOW,1.1,LOW,,2.6,-1.0,-76.9,0.2,22.2,8,7,Indonesia,IDKUM
"Krueng geukueh",2022,20,ALL,ALL,0.5,HIGH,1.2,HIGH,0.4,1.9,-0.3,-37.5,-0.7,-36.8,10,10,Indonesia,IDKGH
Kotabaru,2022,20,ALL,ALL,0.3,LOW,4.7,LOW,,6.5,-0.2,-40.0,2.3,95.8,4,4,Indonesia,IDKBU
Kolaka,2022,20,ALL,ALL,,HIGH,0.8,HIGH,,1.2,,,0.0,0.0,15,7,Indonesia,IDKOL
Kijang,2022,20,ALL,ALL,0.6,LOW,0.8,LOW,0.3,0.6,,,0.4,100.0,6,6,Indonesia,IDKIJ
Ketapang,2022,20,ALL,ALL,0.9,HIGH,0.0,HIGH,0.4,0.4,0.0,0.0,0.0,0.0,752,37,Indonesia,IDKTG
Kariangau,2022,20,ALL,ALL,0.3,HIGH,1.5,HIGH,1.0,3.7,0.1,50.0,-1.7,-53.1,210,26,Indonesia,IDKRG
Kalbut,2022,20,ALL,ALL,0.4,HIGH,1.1,HIGH,,9.4,0.0,0.0,0.0,0.0,19,16,Indonesia,IDKSO
Kalabahi,2022,20,ALL,ALL,,MEDIUM,0.3,MEDIUM,,0.0,,,-3.3,-91.7,2,2,Indonesia,IDKBH
Kabil,2022,20,ALL,ALL,0.8,MEDIUM,0.3,MEDIUM,4.3,1.6,0.0,0.0,-0.2,-40.0,37,10,Indonesia,IDKAB
Jayapura,2022,20,ALL,ALL,1.9,LOW,1.1,LOW,,0.9,1.2,171.4,-0.9,-45.0,4,3,Indonesia,IDDJJ
Jakarta,2022,20,ALL,ALL,0.5,LOW,1.2,LOW,3.3,4.5,0.0,0.0,0.2,20.0,204,184,Indonesia,IDJKT
Gresik,2022,20,ALL,ALL,1.3,LOW,3.0,LOW,6.2,5.1,-0.7,-35.0,0.3,11.1,38,37,Indonesia,IDGRE
Gilimanuk,2022,20,ALL,ALL,,HIGH,0.0,HIGH,,0.6,,,0.0,0.0,729,22,Indonesia,IDGIL
Futong,2022,20,ALL,ALL,1.5,LOW,6.2,LOW,1.1,4.0,,,,,2,2,Indonesia,IDFTG
"Fak fak",2022,20,ALL,ALL,0.1,LOW,0.3,LOW,,0.1,-0.4,-80.0,-0.4,-57.1,2,2,Indonesia,IDFKQ
Ende,2022,20,ALL,ALL,0.2,MEDIUM,0.4,MEDIUM,0.1,0.3,-0.4,-66.7,-0.1,-20.0,4,3,Indonesia,IDENE
Dumai,2022,20,ALL,ALL,0.4,LOW,2.4,LOW,4.7,3.3,-0.1,-20.0,0.8,50.0,36,23,Indonesia,IDDUM
Ciwandan,2022,20,ALL,ALL,0.3,HIGH,1.2,HIGH,1.8,1.7,-0.1,-25.0,0.1,9.1,31,30,Indonesia,IDCIW
Cirebon,2022,20,ALL,ALL,9.3,LOW,4.3,LOW,12.5,0.0,2.1,29.2,-1.0,-18.9,2,2,Indonesia,IDCBN
Cilegon,2022,20,ALL,ALL,0.6,MEDIUM,14.4,MEDIUM,1.4,16.0,,,-10.7,-42.6,9,9,Indonesia,IDCGN
Cilacap,2022,20,ALL,ALL,0.8,HIGH,1.6,HIGH,3.4,2.2,0.1,14.3,-0.2,-11.1,22,19,Indonesia,IDCXP
Cigading,2022,20,ALL,ALL,0.5,LOW,5.6,LOW,1.5,1.9,-0.4,-44.4,2.0,55.6,9,9,Indonesia,IDCIG
Bunati,2022,20,ALL,ALL,,LOW,8.8,LOW,,3.6,,,1.5,20.6,8,8,Indonesia,IDBUT
Bontang,2022,20,ALL,ALL,3.0,MEDIUM,1.9,MEDIUM,4.5,6.3,2.1,233.3,-0.1,-5.0,17,17,Indonesia,IDBXT
Bitung,2022,20,ALL,ALL,1.2,LOW,1.2,LOW,2.8,2.1,0.8,200.0,0.2,20.0,26,21,Indonesia,IDBIT
Biringkassi,2022,20,ALL,ALL,3.1,LOW,4.6,LOW,,,-0.9,-22.5,2.8,155.6,1,1,Indonesia,IDBIR
Benoa,2022,20,ALL,ALL,0.1,LOW,0.7,LOW,0.1,0.4,,,-0.1,-12.5,7,6,Indonesia,IDBOA
Bengkulu,2022,20,ALL,ALL,3.3,MEDIUM,2.8,MEDIUM,0.1,3.8,2.6,371.4,0.2,7.7,9,9,Indonesia,IDBKS
Benete,2022,20,ALL,ALL,1.0,MEDIUM,1.3,MEDIUM,1.7,0.8,0.5,100.0,-0.1,-7.1,3,3,Indonesia,IDBEN
Belawan,2022,20,ALL,ALL,0.8,LOW,1.2,LOW,4.6,1.4,-0.5,-38.5,-0.4,-25.0,29,28,Indonesia,IDBLW
"Batu ampar",2022,20,ALL,ALL,1.1,LOW,0.9,LOW,6.5,17.0,0.8,266.7,0.3,50.0,32,19,Indonesia,IDBUR
Banjarmasin,2022,20,ALL,ALL,0.3,LOW,0.8,LOW,0.3,3.0,0.0,0.0,-0.2,-20.0,32,28,Indonesia,IDBDJ
"Banda aceh",2022,20,ALL,ALL,,HIGH,0.1,HIGH,,0.2,,,0.0,0.0,13,1,Indonesia,IDBTJ
Balikpapan,2022,20,ALL,ALL,0.8,LOW,1.1,LOW,4.3,1.2,-0.3,-27.3,-0.3,-21.4,36,29,Indonesia,IDBPN
Bakauheni,2022,20,ALL,ALL,0.7,HIGH,0.1,HIGH,1.5,0.6,0.6,600.0,0.0,0.0,591,53,Indonesia,IDTKG
Bajoe,2022,20,ALL,ALL,,HIGH,0.8,HIGH,,1.5,,,0.0,0.0,11,5,Indonesia,
Ampenan,2022,20,ALL,ALL,0.4,MEDIUM,0.6,MEDIUM,0.6,0.3,,,0.1,20.0,6,5,Indonesia,IDAMP
Ambon,2022,20,ALL,ALL,6.8,MEDIUM,1.7,MEDIUM,,1.2,6.8,0.0,0.2,13.3,9,6,Indonesia,IDAMQ
Amamapare,2022,20,ALL,ALL,2.3,MEDIUM,0.9,MEDIUM,1.2,2.3,0.0,0.0,0.0,0.0,7,6,Indonesia,IDAMA
"Adang bay",2022,20,ALL,ALL,,LOW,5.7,LOW,,1.3,,,0.9,18.8,11,11,Indonesia,IDADB
Wayame,2022,19,ALL,ALL,2.1,LOW,1.5,LOW,2.2,8.0,0.5,31.3,0.0,0.0,17,16,Indonesia,
Waingapu,2022,19,ALL,ALL,,MEDIUM,0.3,MEDIUM,,0.0,,,-0.2,-40.0,2,2,Indonesia,IDWGP
Tuban,2022,19,ALL,ALL,0.8,LOW,0.9,LOW,1.1,4.2,0.5,166.7,-0.9,-50.0,16,15,Indonesia,IDTBN
Tual,2022,19,ALL,ALL,1.1,LOW,2.8,LOW,1.6,4.0,0.0,0.0,-0.4,-12.5,24,12,Indonesia,IDTUA
Ternate,2022,19,ALL,ALL,0.8,LOW,36.4,LOW,0.3,18.7,0.0,0.0,6.8,23.0,30,6,Indonesia,IDTTE
Telukbayur,2022,19,ALL,ALL,2.4,MEDIUM,2.1,MEDIUM,2.2,5.1,1.3,118.2,-1.4,-40.0,17,17,Indonesia,IDTBR
"Teluk semangka",2022,19,ALL,ALL,,MEDIUM,0.4,MEDIUM,,,,,-1.2,-75.0,1,1,Indonesia,IDSMB
Tarjun,2022,19,ALL,ALL,,LOW,6.8,LOW,,15.4,,,1.9,38.8,3,3,Indonesia,IDTAR
Tarakan,2022,19,ALL,ALL,4.7,LOW,1.2,LOW,,1.4,,,-1.1,-47.8,3,3,Indonesia,IDTRK
Tarahan,2022,19,ALL,ALL,1.7,LOW,4.5,LOW,4.5,14.4,-0.8,-32.0,3.1,221.4,12,11,Indonesia,IDTRH
"Tanjung uban",2022,19,ALL,ALL,1.1,LOW,0.0,LOW,8.3,1.0,-0.2,-15.4,-0.1,-100.0,35,15,Indonesia,IDITN
"Tanjung pemancingan",2022,19,ALL,ALL,,MEDIUM,3.0,MEDIUM,,,,,0.1,3.5,1,1,Indonesia,IDTPN
"Tanjung jati",2022,19,ALL,ALL,0.9,MEDIUM,3.0,MEDIUM,,0.1,-0.1,-10.0,0.5,20.0,2,2,Indonesia,
"Tanjung bara",2022,19,ALL,ALL,3.1,MEDIUM,1.4,MEDIUM,18.4,0.6,,,,,8,8,Indonesia,IDTBA
Tangguh,2022,19,ALL,ALL,0.8,MEDIUM,1.5,MEDIUM,3.3,4.2,-1.0,-55.6,0.1,7.1,5,5,Indonesia,
Suralaya,2022,19,ALL,ALL,0.7,MEDIUM,1.4,MEDIUM,2.1,11.2,-0.8,-53.3,-0.1,-6.7,15,13,Indonesia,IDSRL
Surabaya,2022,19,ALL,ALL,1.9,LOW,0.7,LOW,4.1,5.3,-0.1,-5.0,0.1,16.7,215,146,Indonesia,IDSUB
"Sungai pakning",2022,19,ALL,ALL,0.6,MEDIUM,1.6,MEDIUM,0.4,0.4,-0.5,-45.5,-0.4,-20.0,2,2,Indonesia,IDSEQ
Sorong,2022,19,ALL,ALL,0.4,MEDIUM,1.2,MEDIUM,0.9,16.6,0.1,33.3,-4.6,-79.3,7,6,Indonesia,IDSOQ
Sibolga,2022,19,ALL,ALL,,LOW,19.7,LOW,,15.4,,,14.0,245.6,10,6,Indonesia,IDSLG
Semarang,2022,19,ALL,ALL,0.7,LOW,0.5,LOW,2.3,6.2,0.4,133.3,-0.4,-44.4,32,26,Indonesia,IDSRG
Saumlaki,2022,19,ALL,ALL,,MEDIUM,0.6,MEDIUM,,0.1,,,0.0,0.0,2,2,Indonesia,IDSXK
Sampit,2022,19,ALL,ALL,0.2,LOW,6.6,LOW,0.3,8.3,-0.3,-60.0,5.2,371.4,8,7,Indonesia,IDSMQ
Samarinda,2022,19,ALL,ALL,1.0,MEDIUM,2.0,MEDIUM,,11.0,0.4,66.7,0.6,42.9,8,8,Indonesia,IDSRI
Pontianak,2022,19,ALL,ALL,0.5,LOW,2.3,LOW,1.0,9.6,0.0,0.0,0.3,15.0,31,28,Indonesia,IDPNK
Pomako,2022,19,ALL,ALL,1.4,MEDIUM,2.0,MEDIUM,1.2,6.3,-2.2,-61.1,-0.3,-13.0,5,5,Indonesia,IDPMK
Panjang,2022,19,ALL,ALL,0.9,LOW,1.3,LOW,3.9,1.2,-0.5,-35.7,0.4,44.4,21,19,Indonesia,IDPNJ
"Pangkalan susu",2022,19,ALL,ALL,1.1,LOW,2.2,LOW,0.1,1.5,0.3,37.5,1.0,83.3,3,1,Indonesia,IDPKS
Palopo,2022,19,ALL,ALL,,MEDIUM,7.7,MEDIUM,,,,,6.7,670.0,1,1,Indonesia,IDPPO
Palembang,2022,19,ALL,ALL,1.0,MEDIUM,3.0,MEDIUM,1.1,3.4,-0.1,-9.1,-0.3,-9.1,23,23,Indonesia,IDPLM
Paiton,2022,19,ALL,ALL,1.1,LOW,0.9,LOW,1.4,1.4,-0.9,-45.0,-0.3,-25.0,3,3,Indonesia,IDPAI
Padangbai,2022,19,ALL,ALL,,HIGH,0.1,HIGH,,2.4,,0.0,0.0,0.0,57,12,Indonesia,
Pacitan,2022,19,ALL,ALL,2.3,LOW,2.4,LOW,,,0.8,53.3,0.9,60.0,1,1,Indonesia,ID5PP
Nunukan,2022,19,ALL,ALL,1.0,LOW,6.3,LOW,,5.4,,,3.9,162.5,2,2,Indonesia,IDNNX
Muntok,2022,19,ALL,ALL,68.4,MEDIUM,12.0,MEDIUM,,4.4,,,11.1,1233.3,6,2,Indonesia,IDMUO
"Muara pantai",2022,19,ALL,ALL,,LOW,4.8,LOW,,1.5,,,-1.6,-25.0,7,7,Indonesia,IDMPN
"Migas lng batui",2022,19,ALL,ALL,,LOW,2.0,LOW,,0.4,,,0.6,42.9,2,2,Indonesia,
Meulaboh,2022,19,ALL,ALL,0.8,MEDIUM,0.8,MEDIUM,,0.9,0.7,700.0,-0.2,-20.0,3,3,Indonesia,IDMEQ
Merauke,2022,19,ALL,ALL,0.6,LOW,1.8,LOW,0.1,0.6,0.3,100.0,0.2,12.5,4,4,Indonesia,IDMKQ
Merak,2022,19,ALL,ALL,0.6,MEDIUM,0.0,MEDIUM,1.5,0.4,0.3,100.0,0.0,0.0,677,93,Indonesia,IDMRK
"Mekar putih",2022,19,ALL,ALL,2.5,LOW,2.1,LOW,2.7,1.9,1.5,150.0,0.3,16.7,6,6,Indonesia,
Maumere,2022,19,ALL,ALL,,LOW,10.4,LOW,,13.6,,,-8.6,-45.3,2,2,Indonesia,IDMOF
Manokwari,2022,19,ALL,ALL,,LOW,0.6,LOW,,0.1,,,-0.1,-14.3,2,2,Indonesia,IDMKW
Mangkasa,2022,19,ALL,ALL,,LOW,0.1,LOW,,,,,,,1,1,Indonesia,
Manggis,2022,19,ALL,ALL,0.8,HIGH,1.1,HIGH,1.1,0.3,-1.2,-60.0,0.3,37.5,10,8,Indonesia,IDMGB
Malili,2022,19,ALL,ALL,2.3,MEDIUM,1.9,MEDIUM,,,0.4,21.1,-0.6,-24.0,1,1,Indonesia,IDMLI
Malahayati,2022,19,ALL,ALL,0.5,MEDIUM,1.0,MEDIUM,,0.2,0.2,66.7,-0.3,-23.1,2,2,Indonesia,
Makassar,2022,19,ALL,ALL,1.3,LOW,0.8,LOW,2.0,5.3,-0.9,-40.9,-0.4,-33.3,38,35,Indonesia,IDMAK
Luwuk,2022,19,ALL,ALL,,MEDIUM,7.0,MEDIUM,,21.4,,,4.5,180.0,7,5,Indonesia,IDLUW
"Lubuk gaung",2022,19,ALL,ALL,0.8,LOW,1.5,LOW,2.2,1.5,0.4,100.0,0.4,36.4,13,12,Indonesia,
Lembar,2022,19,ALL,ALL,1.0,HIGH,0.3,HIGH,0.5,3.2,0.0,0.0,0.1,50.0,95,24,Indonesia,IDLBR
"Lawe lawe",2022,19,ALL,ALL,1.4,MEDIUM,1.8,MEDIUM,1.6,1.3,0.9,180.0,0.5,38.5,2,2,Indonesia,IDLLA
Larantuka,2022,19,ALL,ALL,,LOW,13.3,LOW,,,,,12.3,1230.0,1,1,Indonesia,IDLKA
Labuanabajo,2022,19,ALL,ALL,,MEDIUM,0.4,MEDIUM,,,,,0.1,33.3,1,1,Indonesia,IDLBJ
Kupang,2022,19,ALL,ALL,2.2,LOW,1.9,LOW,3.9,4.4,0.4,22.2,0.5,35.7,17,10,Indonesia,IDKOE
Kumai,2022,19,ALL,ALL,1.3,MEDIUM,0.9,MEDIUM,1.3,1.8,,,0.0,0.0,8,6,Indonesia,IDKUM
"Krueng geukueh",2022,19,ALL,ALL,0.8,MEDIUM,1.9,MEDIUM,2.3,3.6,0.6,300.0,0.5,35.7,8,8,Indonesia,IDKGH
Kotabaru,2022,19,ALL,ALL,0.5,LOW,2.4,LOW,,21.0,0.2,66.7,1.5,166.7,6,6,Indonesia,IDKBU
Kolaka,2022,19,ALL,ALL,0.2,HIGH,0.8,HIGH,,0.7,-0.5,-71.4,0.0,0.0,15,9,Indonesia,IDKOL
Kijang,2022,19,ALL,ALL,0.5,MEDIUM,0.6,MEDIUM,0.1,0.3,,,-0.2,-25.0,3,3,Indonesia,IDKIJ
Ketapang,2022,19,ALL,ALL,0.9,HIGH,0.0,HIGH,1.0,0.8,0.6,200.0,0.0,0.0,652,36,Indonesia,IDKTG
Kariangau,2022,19,ALL,ALL,0.2,LOW,3.2,LOW,4.0,2.4,0.2,0.0,1.7,113.3,204,28,Indonesia,IDKRG
Kalbut,2022,19,ALL,ALL,0.4,HIGH,1.1,HIGH,,7.9,-0.9,-69.2,-0.7,-38.9,18,16,Indonesia,IDKSO
Kabil,2022,19,ALL,ALL,0.8,LOW,0.5,LOW,5.1,4.5,0.0,0.0,0.4,400.0,44,15,Indonesia,IDKAB
Jayapura,2022,19,ALL,ALL,,MEDIUM,1.3,MEDIUM,,0.4,,,-0.7,-35.0,4,4,Indonesia,IDDJJ
Jakarta,2022,19,ALL,ALL,0.5,HIGH,1.0,HIGH,3.9,7.6,0.0,0.0,0.0,0.0,212,153,Indonesia,IDJKT
Gresik,2022,19,ALL,ALL,2.0,LOW,2.7,LOW,2.8,4.0,0.1,5.3,0.8,42.1,34,33,Indonesia,IDGRE
Gilimanuk,2022,19,ALL,ALL,,HIGH,0.0,HIGH,,0.9,,0.0,0.0,0.0,773,23,Indonesia,IDGIL
Garongkong,2022,19,ALL,ALL,7.3,LOW,5.1,LOW,,31.5,,,-20.8,-80.3,3,3,Indonesia,
Futong,2022,19,ALL,ALL,2.3,MEDIUM,3.0,MEDIUM,,1.3,-0.2,-8.0,0.6,25.0,3,3,Indonesia,IDFTG
"Fak fak",2022,19,ALL,ALL,0.5,LOW,0.7,LOW,,0.2,,,0.3,75.0,3,2,Indonesia,IDFKQ
Ende,2022,19,ALL,ALL,0.6,MEDIUM,0.5,MEDIUM,,0.1,,,-0.1,-16.7,2,2,Indonesia,IDENE
Dumai,2022,19,ALL,ALL,0.5,LOW,1.6,LOW,3.9,1.8,0.2,66.7,0.8,100.0,47,25,Indonesia,IDDUM
Ciwandan,2022,19,ALL,ALL,0.4,LOW,1.1,LOW,1.2,2.1,0.1,33.3,-0.5,-31.3,22,22,Indonesia,IDCIW
Cirebon,2022,19,ALL,ALL,0.2,LOW,5.3,LOW,0.1,5.4,0.0,0.0,3.7,231.3,2,2,Indonesia,IDCBN
Cilegon,2022,19,ALL,ALL,0.3,MEDIUM,13.1,MEDIUM,,9.3,,,-12.0,-47.8,8,8,Indonesia,IDCGN
Cilacap,2022,19,ALL,ALL,0.5,LOW,1.3,LOW,1.9,1.6,-0.3,-37.5,-0.5,-27.8,19,15,Indonesia,IDCXP
Cigading,2022,19,ALL,ALL,0.9,LOW,3.6,LOW,1.0,3.8,-0.6,-40.0,-1.4,-28.0,9,9,Indonesia,IDCIG
"Celukan bawang",2022,19,ALL,ALL,0.2,MEDIUM,13.3,MEDIUM,,,-6.3,-96.9,-0.1,-0.8,1,1,Indonesia,IDCEB
Bunati,2022,19,ALL,ALL,0.1,LOW,7.3,LOW,0.0,6.4,0.0,0.0,2.4,49.0,15,15,Indonesia,IDBUT
Bontang,2022,19,ALL,ALL,0.9,HIGH,2.0,HIGH,1.8,3.1,0.2,28.6,-2.1,-51.2,18,16,Indonesia,IDBXT
Bitung,2022,19,ALL,ALL,0.5,HIGH,1.4,HIGH,4.6,1.3,0.1,25.0,0.1,7.7,12,11,Indonesia,IDBIT
Biringkassi,2022,19,ALL,ALL,0.4,MEDIUM,2.4,MEDIUM,,,,,-2.6,-52.0,1,1,Indonesia,IDBIR
Benoa,2022,19,ALL,ALL,,LOW,0.8,LOW,,0.1,,,-0.3,-27.3,3,2,Indonesia,IDBOA
Bengkulu,2022,19,ALL,ALL,0.7,MEDIUM,2.6,MEDIUM,0.8,5.6,,,-2.1,-44.7,8,8,Indonesia,IDBKS
Benete,2022,19,ALL,ALL,0.5,MEDIUM,1.4,MEDIUM,0.4,0.4,-1.4,-73.7,0.1,7.7,3,3,Indonesia,IDBEN
Belawan,2022,19,ALL,ALL,1.3,LOW,1.6,LOW,2.7,1.9,0.8,160.0,-0.2,-11.1,34,34,Indonesia,IDBLW
