"Vessel Name","Port Call Type","Port Type","Port At Call",Ata/atd,"Voyage Origin Port","Leg Start Port/anch","In Transit Port Calls",Mmsi,"Voyage Origin Port Atd","Vessel Type - Generic","Capacity - Dwt"
"CHRISTIAN NEHLS",ARRIVAL,Port,HAMBURG,"2022-06-27 11:10:00",HAMBURG,HAMBURG,"Not in Transit",211701610,"2022-06-27 10:45:00",Cargo,
"VITTORIA M",ARRIVAL,Port,FAVIGNANA,"2022-06-27 11:10:00",LEVANZO,LEVANZO,"Not in Transit",247139400,"2022-06-27 11:03:00","High Speed Craft",50
ENDELAVE,DEPARTURE,Port,ENDELAVE,"2022-06-27 11:10:00",,,"Not in Transit",219000781,,Passenger,190
"CLOUD 21",ARRIVAL,Port,"NY ALESUND","2022-06-27 11:10:00",LONGYEARBYEN,"LONGYEARBYEN ANCH","Not in Transit",983110161,"2022-06-23 16:01:00","Special Craft",
SEBA,DEPARTURE,Port,IJSSELOOG,"2022-06-27 11:10:00",,,"In Transit",244660359,,Tanker,
SUPPLIER,ARRIVAL,Port,FISKEBACK,"2022-06-27 11:09:00",GOTEBORG,GOTEBORG,"Not in Transit",219014435,"2022-06-27 10:59:00",Other,
ERMIONI,DEPARTURE,Port,"AGIOI THEODOROI","2022-06-27 11:09:00",,,"Not in Transit",241590000,,Tug,52
"CTR TY0249",DEPARTURE,"Offshore Terminal",SHALUNG,"2022-06-27 11:09:00",,,"Not in Transit",416066102,,Fishing,
JASMINE,DEPARTURE,Anchorage,"SUEZ SOUTH ANCH","2022-06-27 11:09:00",,,"Not in Transit",511100266,,Cargo,8242
VECTOR,DEPARTURE,Port,DRAMMEN,"2022-06-27 11:09:00",,,"Not in Transit",257082160,,"Pleasure Craft",
"EVONNE GOOLAGONG",ARRIVAL,Port,"DRUMMOYNE SYDNEY","2022-06-27 11:09:00","RODD POINT","RODD POINT","Not in Transit",503376300,"2022-06-27 11:06:00",Passenger,50
TARKANA,DEPARTURE,Port,ANTWERP,"2022-06-27 11:09:00",,,"Not in Transit",205423690,,Cargo,
LINZ,DEPARTURE,Port,FREUDENAU,"2022-06-27 11:09:00",,,"Not in Transit",203999366,,"Special Craft",
"NO PROBLEM V",ARRIVAL,Port,BRIELLE,"2022-06-27 11:09:00",RHOON,RHOON,"Not in Transit",244002952,"2022-06-27 09:19:00",Passenger,
WAGTAIL,ARRIVAL,Port,MEVAGISSEY,"2022-06-27 11:09:00",FALMOUTH,FALMOUTH,"Not in Transit",235053508,"2022-06-21 14:47:00","Sailing Vessel",
"HAI AN",ARRIVAL,Port,"HONG KONG","2022-06-27 11:09:00","HONG KONG","HONG KONG","Not in Transit",477335800,"2022-06-27 10:47:00",Tug,183
MANI,DEPARTURE,Port,THORLAKSHOFN,"2022-06-27 11:09:00",,,"Not in Transit",251361740,,Fishing,
TERNINGEN,ARRIVAL,Port,BREKSTAD,"2022-06-27 11:09:00",TRONDHEIM,TRONDHEIM,"Not in Transit",257333000,"2022-06-27 10:21:00","High Speed Craft",
WANGUOXIANGSHUN,ARRIVAL,Port,ZHENJIANG,"2022-06-27 11:09:00",WUHAN,WUHAN,"Not in Transit",413794146,"2022-06-25 17:45:00",Cargo,
BENGEL,ARRIVAL,Anchorage,"LEIXOES ANCH","2022-06-27 11:09:00",LEIXOES,LEIXOES,"Not in Transit",253746000,"2022-06-27 10:53:00","Special Craft",6626
"DWS GHALIB",ARRIVAL,Port,"AMADOR CRUISE PORT","2022-06-27 11:09:00","AMADOR CRUISE PORT","AMADOR CRUISE PORT","Not in Transit",373000002,"2022-06-27 04:43:00","Search and Rescue",
EIYOSHIMARU,ARRIVAL,Port,HAKATA,"2022-06-27 11:09:00","OSHIMA NAGASAKI","OSHIMA NAGASAKI","Not in Transit",431015608,"2022-06-27 05:22:00",Cargo,
"LE ROZEL",ARRIVAL,Port,BLAINVILLE-SUR-ORNE,"2022-06-27 11:09:00",OUISTREHAM,OUISTREHAM,"Not in Transit",228098070,"2022-06-27 10:41:00",Tug,
JANNEKE,DEPARTURE,Port,BURGUM,"2022-06-27 11:09:00",,,"In Transit",244700612,,Cargo,
"NEC VISION",DEPARTURE,Port,"PORT OF SPAIN","2022-06-27 11:09:00",,,"Not in Transit",362027000,,Tug,
MENHADEN,ARRIVAL,Port,BOSTON,"2022-06-27 11:09:00","SUNSET MARINE","SUNSET MARINE","Not in Transit",338444184,"2022-06-27 08:47:00",Fishing,
"KIES UELI",ARRIVAL,Port,AUHAFEN,"2022-06-27 11:09:00",BIRSFELDEN,BIRSFELDEN,"Not in Transit",269056737,"2022-06-27 04:59:00",Cargo,
"JUMPING FITNESS",ARRIVAL,Port,UNIJE,"2022-06-27 11:09:00","MARINA VERUDA TECHNO","MARINA VERUDA TECHNO","Not in Transit",270726000,"2022-06-27 07:07:00","Pleasure Craft",
"PILOT 747 SE",DEPARTURE,Port,DJUPVIK,"2022-06-27 11:09:00",,,"Not in Transit",265514850,,"Special Craft",
COOEE,DEPARTURE,Port,PROCIDA,"2022-06-27 11:09:00",,,"In Transit",211850480,,"Pleasure Craft",
"RP BRUSSEL",DEPARTURE,Port,NIJMEGEN,"2022-06-27 11:09:00",,,"In Transit",269057472,,Tanker,2540
"MAY GIBBS",DEPARTURE,Port,"ROSE BAY","2022-06-27 11:09:00",,,"Not in Transit",503059930,,Passenger,
"METEOR 184",ARRIVAL,Port,KRONSHTADT,"2022-06-27 11:09:00","ST PETERSBURG","ST PETERSBURG","Not in Transit",273354370,"2022-06-27 10:42:00",Passenger,
"LET IT BE",ARRIVAL,Port,UMAG,"2022-06-27 11:09:00",LUCIJA,LUCIJA,"Not in Transit",211285870,"2022-06-27 09:01:00","Sailing Vessel",
"MSV AL GAYATRI",DEPARTURE,Port,"FATEH OIL FIELD","2022-06-27 11:09:00",,,"In Transit",419956012,,Cargo,
"PGC STRIDENT FORCE",DEPARTURE,Port,ASPROPYRGOS,"2022-06-27 11:09:00",,,"Not in Transit",255806149,,Tanker,8485
COCLE,DEPARTURE,Port,BALBOA,"2022-06-27 11:09:00",,,"Not in Transit",354304000,,Tug,
TEXELSTROOM,DEPARTURE,Port,TEXEL,"2022-06-27 11:09:00",,,"Not in Transit",244870335,,Passenger,1684
YOULIANJIAO3,DEPARTURE,Port,SHENZHEN,"2022-06-27 11:09:00",,,"Not in Transit",413866583,,Passenger,
"LIZA MARLEEN",DEPARTURE,Port,LEEUWARDEN,"2022-06-27 11:09:00",,,"In Transit",244710298,,"Sailing Vessel",
"WILSON DORDRECHT",ARRIVAL,Port,"ROTTERDAM CENTRUM","2022-06-27 11:09:00","ROTTERDAM CENTRUM","ROTTERDAM CENTRUM","Not in Transit",314474000,"2022-06-27 10:13:00",Cargo,3000
"SABATER R",DEPARTURE,Port,TIGRE,"2022-06-27 11:09:00",,,"In Transit",701006867,,Other,
DELAWARE,DEPARTURE,Port,"CAPE MAY","2022-06-27 11:09:00",,,"Not in Transit",366914210,,Passenger,420
"HAI SHEN 11 HAO",DEPARTURE,Port,"MEIZHOU ISLAND","2022-06-27 11:09:00",,,"Not in Transit",412705380,,Passenger,
"VB TRON",ARRIVAL,Port,ALGECIRAS,"2022-06-27 11:09:00",ALGECIRAS,ALGECIRAS,"Not in Transit",224248000,"2022-06-27 10:35:00","Special Craft",266
BOERAN,DEPARTURE,Port,KOELN,"2022-06-27 11:09:00",,,"In Transit",244660421,,Tanker,
"DUZGIT BUYUKDERE",DEPARTURE,Port,ZEYTINBURNU,"2022-06-27 11:09:00",,,"Not in Transit",271043786,,"Special Craft",
EXAUDI,DEPARTURE,Port,LIEGE,"2022-06-27 11:09:00",,,"In Transit",205268890,,Cargo,
INCA,DEPARTURE,Port,GHENT,"2022-06-27 11:09:00",,,"Not in Transit",244690110,,Tug,
CUPIDO,DEPARTURE,Port,"ROTTERDAM CENTRUM","2022-06-27 11:09:00",,,"In Transit",205422290,,Cargo,
YAM,DEPARTURE,Port,ANDENES,"2022-06-27 11:09:00",,,"Not in Transit",257856500,,Passenger,
"BLUE CRUSH",DEPARTURE,Port,"PORT ERIE","2022-06-27 11:09:00",,,"Not in Transit",338302017,,"Pleasure Craft",
OSCARKE,ARRIVAL,Port,NIGTEVECHT,"2022-06-27 11:09:00",WEESP,WEESP,"Not in Transit",205545630,"2022-06-27 10:33:00","Pleasure Craft",
"VESLEO II",DEPARTURE,Port,STROMSTAD,"2022-06-27 11:09:00",,,"Not in Transit",259491000,,Passenger,49
"SNAV ANTARES",ARRIVAL,Port,PROCIDA,"2022-06-27 11:09:00",NAPOLI,NAPOLI,"Not in Transit",247058900,"2022-06-27 10:42:00",Passenger,31
TITAN,ARRIVAL,Anchorage,EVERINGEN,"2022-06-27 11:09:00",VLISSINGEN,VLISSINGEN,"Not in Transit",244650884,"2022-06-27 10:59:00",Cargo,3609
IJSLAND,DEPARTURE,Port,ANGEREN,"2022-06-27 11:09:00",,,"In Transit",244780264,,Cargo,
JANNIE,DEPARTURE,Port,ARNHEM,"2022-06-27 11:09:00",,,"In Transit",244700872,,Cargo,
"MALI PRINC",ARRIVAL,Port,KAPRIJE,"2022-06-27 11:09:00",ZIRJE,ZIRJE,"Not in Transit",238330740,"2022-06-27 10:56:00","High Speed Craft",21
"MSTX 7",DEPARTURE,Port,PERNIS,"2022-06-27 11:09:00",,,"Not in Transit",244820300,,"High Speed Craft",
KLEINENSIEL,DEPARTURE,Port,BRAKE,"2022-06-27 11:09:00",,,"Not in Transit",211124650,,Passenger,
COPENHAGEN,ARRIVAL,Port,ROSTOCK,"2022-06-27 11:09:00",GEDSER,GEDSER,"Not in Transit",219423000,"2022-06-27 09:35:00",Passenger,5000
PIETARI,ARRIVAL,Port,TRASLOVSLAGE,"2022-06-27 11:09:00",VARBERG,VARBERG,"Not in Transit",230025540,"2022-06-27 10:59:00","Pleasure Craft",
THREANT,DEPARTURE,Port,JIRNSUM,"2022-06-27 11:09:00",,,"In Transit",244620670,,Cargo,
"ACUARIUM JET",ARRIVAL,Port,"PUERTO RICO","2022-06-27 11:09:00","PUERTO ANFI","PUERTO ANFI","Not in Transit",224006780,"2022-06-27 11:07:00",Passenger,
VEERWEL,DEPARTURE,Port,"HOEK VAN HOLLAND","2022-06-27 11:09:00",,,"Not in Transit",244750694,,Passenger,
"GREY LADY IV",ARRIVAL,Port,NANTUCKET,"2022-06-27 11:09:00",HYANNIS,HYANNIS,"Not in Transit",367720690,"2022-06-27 10:19:00","High Speed Craft",
BIOKOVO,DEPARTURE,Port,ROGAC,"2022-06-27 11:09:00",,,"Not in Transit",238936140,,Passenger,560
IONIS,DEPARTURE,Port,KEA,"2022-06-27 11:09:00",,,"Not in Transit",239308000,,Passenger,880
OTTER,ARRIVAL,Port,PANNERDEN,"2022-06-27 11:09:00",FUESTRUP,FUESTRUP,"Not in Transit",244615413,"2022-06-23 08:42:00","Pleasure Craft",
"DCI DREDGE XVII",ARRIVAL,Port,PARADIP,"2022-06-27 11:09:00",VISAKHAPATNAM,"PARADIP ANCH","Not in Transit",419018600,"2022-04-29 03:12:00","Special Craft",12408
"REGINA MARIS",DEPARTURE,Port,KIEL,"2022-06-27 11:09:00",,,"Not in Transit",246501000,,"Sailing Vessel",25
"ADNOC 512",DEPARTURE,Port,ZAKUM,"2022-06-27 11:09:00",,,"Not in Transit",470979000,,"Special Craft",1200
MYSTIQUE,DEPARTURE,Port,MEHRUM,"2022-06-27 11:09:00",,,"In Transit",244670777,,Cargo,
EVIDENT,ARRIVAL,Port,NIEUWERKERK,"2022-06-27 11:09:00",GOUDA,GOUDA,"Not in Transit",244700122,"2022-06-27 10:57:00",Cargo,
FINLANDIA,ARRIVAL,Port,HELSINKI,"2022-06-27 11:09:00","TALLINN OLD CITY","TALLINN OLD CITY","Not in Transit",230628000,"2022-06-27 09:21:00",Passenger,5506
BLIZZARD,ARRIVAL,Port,"ROTTERDAM WAALHAVEN","2022-06-27 11:09:00",ZWIJNDRECHT,ZWIJNDRECHT,"Not in Transit",244700557,"2022-06-27 09:51:00",Cargo,
JIANGSULUDU2032,DEPARTURE,Port,ZHENJIANG,"2022-06-27 11:09:00",,,"Not in Transit",413788463,,Passenger,
SOUTHPORT,DEPARTURE,Port,SOUTHPORT,"2022-06-27 11:09:00",,,"Not in Transit",367143160,,Cargo,
RIVAL,ARRIVAL,Port,OLFEN,"2022-06-27 11:09:00",GEESTHACHT,GEESTHACHT,"Not in Transit",244138978,"2022-06-25 11:40:00",Tanker,
"LA VIDA",ARRIVAL,Port,NEER,"2022-06-27 11:09:00",ROERMOND,ROERMOND,"Not in Transit",244002158,"2022-06-27 10:51:00",Cargo,
"ILLETAS JET",ARRIVAL,Port,FORMENTERA,"2022-06-27 11:09:00",IBIZA,IBIZA,"Not in Transit",225342000,"2022-06-27 10:42:00","High Speed Craft",36
"YOU LIAN TUO 5",DEPARTURE,Port,SHENZHEN,"2022-06-27 11:09:00",,,"Not in Transit",413473350,,Tug,
"LEKSTROOM I",ARRIVAL,Port,SCHIEDAM,"2022-06-27 11:09:00",LEKKERKERK,LEKKERKERK,"Not in Transit",244660566,"2022-06-27 09:33:00",Tug,
LONGSHENG5698,DEPARTURE,Port,SHANGHAI,"2022-06-27 11:09:00",,,"Not in Transit",413867191,,Cargo,
JIANHANG308,ARRIVAL,Port,"DONG GUAN","2022-06-27 11:09:00",HUANGPU,HUANGPU,"Not in Transit",413901039,"2022-06-27 09:59:00",Tanker,
CHESON,ARRIVAL,Port,SERAING,"2022-06-27 11:09:00",FLEMALLE,FLEMALLE,"Not in Transit",244700574,"2022-06-27 11:00:00",Tanker,
LONGWEI1098,DEPARTURE,Port,TONGLING,"2022-06-27 11:09:00",,,"Not in Transit",413833952,,Cargo,
"GOLDEN MARIANA",DEPARTURE,Port,"PAPA WESTRAY","2022-06-27 11:09:00",,,"Not in Transit",235021681,,Passenger,
"TAN CANG 86",DEPARTURE,Port,"HAI PHONG","2022-06-27 11:09:00",,,"Not in Transit",574003260,,Tug,
"MF CANAKKALE",DEPARTURE,Port,ESKIHISAR,"2022-06-27 11:09:00",,,"Not in Transit",271041249,,Passenger,1084
"HORIZON 6",DEPARTURE,Port,SINGAPORE,"2022-06-27 11:09:00",,,"Not in Transit",564346000,,"High Speed Craft",45
HONGPU66,DEPARTURE,Port,ZHOUSHAN,"2022-06-27 11:09:00",,,"Not in Transit",412434460,,Tanker,
"SEA FAIREY A",DEPARTURE,Port,"SAINT MANDRIER","2022-06-27 11:09:00",,,"Not in Transit",228027380,,"Sailing Vessel",
SIDDHARTA,ARRIVAL,Port,SAVONA,"2022-06-27 11:09:00","MARINA DI LOANO","MARINA DI LOANO","Not in Transit",247366310,"2022-06-27 06:38:00","Sailing Vessel",
INTREPIDO,DEPARTURE,Port,FAVIGNANA,"2022-06-27 11:09:00",,,"Not in Transit",247299900,,Passenger,
ASWINTHA,ARRIVAL,Port,S-GRAVENDEEL,"2022-06-27 11:09:00",DORDRECHT,DORDRECHT,"Not in Transit",244650699,"2022-06-27 11:02:00",Tanker,2514
HEFFESANT,DEPARTURE,Port,IJSSELOOG,"2022-06-27 11:09:00",,,"In Transit",244770328,,"Special Craft",
"BLUE STAR MYCONOS",ARRIVAL,Port,EVDILOS,"2022-06-27 11:09:00",MYKONOS,MYKONOS,"Not in Transit",240389000,"2022-06-27 09:14:00",Passenger,2679
ANTHRAZIT,ARRIVAL,Port,FRIEDRICHSFELD,"2022-06-27 11:09:00",MUNSTER,MUNSTER,"Not in Transit",211505730,"2022-06-26 08:19:00",Unspecified,
SAGITTARIUS,DEPARTURE,Port,EYEMOUTH,"2022-06-27 11:09:00",,,"Not in Transit",235030726,,Passenger,
"QUEEN BEATRIX II",DEPARTURE,Port,SABA,"2022-06-27 11:09:00",,,"Not in Transit",306973000,,Fishing,
"PRANA 2",ARRIVAL,Port,YSTAD,"2022-06-27 11:09:00",EKENAES,EKENAES,"Not in Transit",211550520,"2022-06-25 08:55:00","Sailing Vessel",
"BERMUDA ISLANDER",ARRIVAL,Port,SALEM,"2022-06-27 11:09:00","KINGS WHARF","KINGS WHARF","Not in Transit",244820000,"2022-06-24 17:09:00",Cargo,3820
ANGLEGARTH,DEPARTURE,Port,FINNART,"2022-06-27 11:09:00",,,"Not in Transit",232002698,,Tug,290
MANHATTAN,DEPARTURE,Port,HEMIKSEM,"2022-06-27 11:09:00",,,"In Transit",205203590,,Cargo,
RAPIDO,ARRIVAL,Port,HEMIKSEM,"2022-06-27 11:09:00",BRESKENS,BRESKENS,"Not in Transit",244660977,"2022-06-27 03:24:00",Cargo,
ESTHER,DEPARTURE,Port,TERHERNE,"2022-06-27 11:09:00",,,"In Transit",244750290,,Cargo,
TAIZUN68,DEPARTURE,Port,"HONG KONG","2022-06-27 11:09:00",,,"Not in Transit",413864202,,Cargo,
"XUAN YANG",DEPARTURE,Port,TAICANG,"2022-06-27 11:09:00",,,"Not in Transit",413358260,,Cargo,
"HU GANG YIN JIAO 17",DEPARTURE,Port,SHANGHAI,"2022-06-27 11:09:00",,,"Not in Transit",413380860,,"Special Craft",
"TAI GANG TUO 10",ARRIVAL,Port,TAICANG,"2022-06-27 11:09:00","TAICANG ANCH","TAICANG ANCH","Not in Transit",413844138,"2022-06-27 11:01:00",Tug,
"THE SENATOR",DEPARTURE,Port,"MACKINAC ISLAND","2022-06-27 11:09:00",,,"Not in Transit",368162610,,Cargo,
JINGANGBA,DEPARTURE,Port,JINZHOU,"2022-06-27 11:09:00",,,"Not in Transit",413001840,,Tug,
ALKYON,DEPARTURE,Port,AIDIPSOS,"2022-06-27 11:09:00",,,"Not in Transit",240129600,,Passenger,
"KATHERINE BORCHARD",ARRIVAL,Port,LIMASSOL,"2022-06-27 11:09:00",SALERNO,SALERNO,"Not in Transit",304623000,"2022-06-24 17:29:00",Cargo,11376
ARIEL,ARRIVAL,Port,"PORT VICTORIA","2022-06-27 11:09:00","PORT VICTORIA","PORT VICTORIA","Not in Transit",232038977,"2022-06-25 08:53:00","Sailing Vessel",
"BRABO 21",DEPARTURE,Port,ANTWERP,"2022-06-27 11:09:00",,,"Not in Transit",205513590,,"Special Craft",
MOYSALEN,DEPARTURE,Port,SANDNESSJOEN,"2022-06-27 11:09:00",,,"Not in Transit",257325400,,Passenger,1500
FENJA,ARRIVAL,Port,FANO,"2022-06-27 11:09:00",ESBJERG,ESBJERG,"Not in Transit",219000604,"2022-06-27 11:08:00",Passenger,250
MARJON,DEPARTURE,Port,SLIKKERVEER,"2022-06-27 11:09:00",,,"In Transit",244900067,,Cargo,
"LNG ENDEAVOUR",ARRIVAL,Anchorage,"HAMMERFEST ANCH","2022-06-27 11:09:00","ROTTERDAM MAASVLAKTE","ROTTERDAM MAASVLAKTE","Not in Transit",228408700,"2022-06-22 17:37:00",Tanker,88797
TARTARUGA1,DEPARTURE,Port,CARLOFORTE,"2022-06-27 11:09:00",,,"Not in Transit",211392880,,"Sailing Vessel",
AMORE,ARRIVAL,Port,"ROTTERDAM CENTRUM","2022-06-27 11:09:00","ROTTERDAM WAALHAVEN","ROTTERDAM WAALHAVEN","Not in Transit",244740863,"2022-06-27 10:58:00",Cargo,
"LOCH SHIRA",ARRIVAL,Port,LARGS,"2022-06-27 11:09:00","CUMBRAE SLIP","CUMBRAE SLIP","Not in Transit",235053239,"2022-06-27 11:05:00",Passenger,245
HUIJINYI01,ARRIVAL,Port,LIJIANG,"2022-06-27 11:09:00",XINSHA,XINSHA,"Not in Transit",413900627,"2022-06-27 10:38:00",Tanker,
LIMBURGIA,DEPARTURE,Port,HASSELT,"2022-06-27 11:09:00",,,"Not in Transit",205250590,,Passenger,
BATAAF,ARRIVAL,Port,AMSTERDAM,"2022-06-27 11:09:00",SCHELLINGWOUDE,SCHELLINGWOUDE,"Not in Transit",244060616,"2022-06-27 11:08:00","Pleasure Craft",
"MITRA BHUM",DEPARTURE,Port,SINGAPORE,"2022-06-27 11:09:00",,,"In Transit",565616000,,Cargo,13844
"HOZAN MARU",DEPARTURE,Port,KOBE,"2022-06-27 11:09:00",,,"Not in Transit",431011868,,Tug,
"AGIA THEODORA",DEPARTURE,Port,GAIOS,"2022-06-27 11:09:00",,,"Not in Transit",239619000,,Passenger,1046
TANGUETHEN,ARRIVAL,Port,LORIENT,"2022-06-27 11:09:00","PORT LOUIS","PORT LOUIS","Not in Transit",227002770,"2022-06-27 11:04:00","Pleasure Craft",
"LADY CAROLINE",DEPARTURE,Port,"ROAD TOWN","2022-06-27 11:09:00",,,"Not in Transit",378112988,,Passenger,
"KM BRAVO",DEPARTURE,Port,SINGAPORE,"2022-06-27 11:09:00",,,"Not in Transit",563040224,,"Pleasure Craft",
"HIKARI MARU",DEPARTURE,Anchorage,"HIKARI ANCH","2022-06-27 11:09:00",,,"Not in Transit",431004834,,Cargo,1300
"NOU EN",ARRIVAL,Port,UITWELLINGERGA,"2022-06-27 11:09:00",SNEEK,SNEEK,"Not in Transit",244010872,"2022-06-27 11:04:00","Pleasure Craft",
LOVA,ARRIVAL,Port,GOTEBORG,"2022-06-27 11:09:00","GOTA ALV TROLLHATTAN","GOTA ALV TROLLHATTAN","Not in Transit",265530660,"2022-06-26 15:43:00","Sailing Vessel",
"RNLI LIFEBOAT 13 21",DEPARTURE,Port,WICKLOW,"2022-06-27 11:09:00",,,"Not in Transit",235113727,,"Search and Rescue",
EXCELSIOR,ARRIVAL,Port,NEUILLY-SUR-SEINE,"2022-06-27 11:09:00",CONFLANS,CONFLANS,"Not in Transit",226014170,"2022-06-27 06:57:00",Cargo,
"SURYA IPOH",DEPARTURE,Port,"TANJUNG LANGSAT","2022-06-27 11:09:00",,,"In Transit",533000141,,"Special Craft",
"CARL WILHELMSON",ARRIVAL,Port,LYSEKIL,"2022-06-27 11:09:00",LYSEKIL,LYSEKIL,"Not in Transit",265528280,"2022-06-27 10:47:00",Unspecified,
GUIGANGHESHUN0018,DEPARTURE,Port,"DONG GUAN","2022-06-27 11:09:00",,,"Not in Transit",413798823,,Cargo,
AHAVA,ARRIVAL,Port,OOSTERHOUT,"2022-06-27 11:09:00",OCHTEN,OCHTEN,"Not in Transit",244850045,"2022-06-27 05:32:00",Cargo,
MERCURIUS,ARRIVAL,Port,ALESUND,"2022-06-27 11:09:00",TRONDHEIM,TRONDHEIM,"Not in Transit",266465000,"2022-06-26 21:08:00",Tanker,7998
NOMADIS,ARRIVAL,Port,"ROTTERDAM CENTRUM","2022-06-27 11:09:00",DORDRECHT,DORDRECHT,"Not in Transit",244670740,"2022-06-27 10:20:00",Cargo,
"ASEAN RAIDER 1",DEPARTURE,Port,"BATU AMPAR","2022-06-27 11:09:00",,,"Not in Transit",564330000,,Passenger,21
"HYUN JUNG 301HO",ARRIVAL,Port,ULSAN,"2022-06-27 11:09:00",ULSAN,ULSAN,"Not in Transit",440105090,"2022-06-27 10:40:00",Tug,
LOSINJ,ARRIVAL,Port,LOPAR,"2022-06-27 11:09:00",VALBISKA,VALBISKA,"Not in Transit",238289740,"2022-06-27 09:56:00",Passenger,810
"ISOLA DI CAPRERA",DEPARTURE,Port,CARLOFORTE,"2022-06-27 11:09:00",,,"Not in Transit",247045500,,Passenger,250
NEPTUNUS,ARRIVAL,Port,BOKENAS,"2022-06-27 11:09:00",BOKENAS,BOKENAS,"Not in Transit",265761380,"2022-06-27 10:46:00",Passenger,
TAIXINGQIDU9,ARRIVAL,Port,CHANGZHOU,"2022-06-27 11:09:00",CHANGZHOU,CHANGZHOU,"Not in Transit",413839727,"2022-06-27 11:06:00",Passenger,
"MARIA DEL CARMEN",ARRIVAL,Anchorage,"NUEVA PALMIRA ANCH","2022-06-27 11:09:00","NUEVA PALMIRA","NUEVA PALMIRA","Not in Transit",770576430,"2022-06-27 11:06:00",Passenger,
TRAMP,DEPARTURE,Port,COERHEIDE,"2022-06-27 11:09:00",,,"In Transit",244030641,,Cargo,
"PLACENTIA HOPE",ARRIVAL,Anchorage,"COME BY CHANCE ANCH","2022-06-27 11:09:00","WHIFFEN HEAD","WHIFFEN HEAD","Not in Transit",316274000,"2022-06-27 11:02:00",Tug,
IJSSELDIEP,ARRIVAL,Port,IDSKENHUIZEN,"2022-06-27 11:09:00",LEMMER,LEMMER,"Not in Transit",244020449,"2022-06-27 10:38:00",Cargo,
"DM 33",DEPARTURE,Anchorage,"SINGAPORE ANCH","2022-06-27 11:09:00",,,"Not in Transit",457004000,,Passenger,
"REBEL LANDER",DEPARTURE,Port,FISHBOURNE,"2022-06-27 11:09:00",,,"Not in Transit",232038596,,"Special Craft",
"MAMOLINO 2054",ARRIVAL,"Offshore Terminal",DJENO,"2022-06-27 11:09:00","POINTE NOIRE","POINTE NOIRE","Not in Transit",229183000,"2022-06-27 09:39:00",Passenger,
RENOIR,ARRIVAL,Port,ANTWERP,"2022-06-27 11:09:00",MOERDIJK,MOERDIJK,"Not in Transit",211531840,"2022-06-26 16:34:00",Tanker,
"MEDI HAKATA",DEPARTURE,Port,COEGA,"2022-06-27 11:09:00",,,"Not in Transit",352858000,,Cargo,58078
OCEANNA11,ARRIVAL,Port,KABIL,"2022-06-27 11:09:00","TANJUNG PINANG","TANJUNG PINANG","Not in Transit",525003663,"2022-06-27 10:04:00",Unspecified,
"SB BINTAN RESORT2",ARRIVAL,Port,KABIL,"2022-06-27 11:09:00",KABIL,KABIL,"Not in Transit",525500424,"2022-06-27 01:49:00",Passenger,
HUATAI978,DEPARTURE,Port,NANTONG,"2022-06-27 11:09:00",,,"Not in Transit",413835593,,Cargo,
LASLOVO,DEPARTURE,Port,SUCURAJ,"2022-06-27 11:08:00",,,"Not in Transit",238115840,,Passenger,180
"AKRA 30",ARRIVAL,"Offshore Terminal","SENIPAH OIL TERMINAL","2022-06-27 11:08:00",SAMARINDA,SAMARINDA,"Not in Transit",525007042,"2022-06-27 06:57:00",Tanker,5365
"DRAIOCHT NA FARRAIGE",DEPARTURE,Port,INISHMORE,"2022-06-27 11:08:00",,,"Not in Transit",250138000,,Passenger,31
"KT.ANGGADA XVI",ARRIVAL,Port,KARIANGAU,"2022-06-27 11:08:00",BALIKPAPAN,BALIKPAPAN,"Not in Transit",525000416,"2022-06-27 10:37:00",Tug,
"MM SEJATI",DEPARTURE,Port,BALIKPAPAN,"2022-06-27 11:08:00",,,"Not in Transit",525016681,,Cargo,3559
SMILLA,ARRIVAL,Port,BREMERHAVEN,"2022-06-27 11:08:00",HELGOLAND,HELGOLAND,"Not in Transit",211579420,"2022-06-27 03:49:00","Sailing Vessel",
"LUEN YIN 8",DEPARTURE,Port,"HONG KONG","2022-06-27 11:08:00",,,"In Transit",477996350,,Passenger,
KRATOS,ARRIVAL,Port,"ROTTERDAM BOTLEK","2022-06-27 11:08:00",ROTTERDAM,ROTTERDAM,"Not in Transit",244810087,"2022-06-27 10:57:00",Tanker,
SUHULET,ARRIVAL,Port,ESKIHISAR,"2022-06-27 11:08:00",TOPCULAR,TOPCULAR,"Not in Transit",271002544,"2022-06-27 10:40:00",Passenger,250
"SANDRA HUGH",ARRIVAL,Port,"LOS ANGELES","2022-06-27 11:08:00","LOS ANGELES","LOS ANGELES","Not in Transit",367305920,"2022-06-27 11:02:00",Tug,
"MARTHA FORTUNE",DEPARTURE,Port,JAKARTA,"2022-06-27 11:08:00",,,"Not in Transit",525021181,,Tug,
VESTA,ARRIVAL,Port,ALICUDI,"2022-06-27 11:08:00",FILICUDI,FILICUDI,"Not in Transit",247045400,"2022-06-27 10:18:00",Passenger,572
OSTIA,ARRIVAL,Port,SPEYER,"2022-06-27 11:08:00",LUDWIGSHAFEN,LUDWIGSHAFEN,"Not in Transit",205424190,"2022-06-27 09:03:00",Cargo,
"ILE DE GROIX",ARRIVAL,Port,LORIENT,"2022-06-27 11:08:00",GROIX,GROIX,"Not in Transit",227749270,"2022-06-27 10:37:00",Passenger,190
